class,dataset size,test size,num correct,correct percentage
amberjack,323,37,23,62.16216216216216
australian bass,378,40,18,45.0
australian bonito,57,7,4,57.14285714285714
barramundi,575,50,33,66.0
barred cheek coral trout,155,14,13,92.85714285714286
barred javelin,97,11,6,54.54545454545454
barred queenfish,12,1,0,0.0
bartailed flathead,192,15,9,60.0
beach,369,41,41,100.0
bigeye trevally,60,4,0,0.0
black jewfish,138,13,2,15.384615384615385
blackbanded amberjack,40,3,3,100.0
blackspotted rockcod estuary cod,73,6,6,100.0
blue threadfin,80,8,4,50.0
boat,744,95,90,94.73684210526315
cobia,1238,134,102,76.11940298507463
diamondscale mullet,72,7,4,57.14285714285714
dusky flathead,507,45,29,64.44444444444444
frypan bream,16,3,1,33.33333333333333
giant queenfish,192,26,15,57.692307692307686
giant trevally,617,60,40,66.66666666666666
golden snapper fingermark,516,48,32,66.66666666666666
golden trevally,585,58,42,72.41379310344827
goldenline whiting,9,1,1,100.0
goldspotted rockcod estuary cod,53,6,6,100.0
grass emperor sweetlip,82,11,7,63.63636363636363
great barracuda,736,83,67,80.72289156626506
grey mackerel,23,2,1,50.0
highfin amberjack,128,21,8,38.095238095238095
indoors,481,46,45,97.82608695652173
king threadfin,103,9,4,44.44444444444444
leaping bonito,54,5,2,40.0
lesser queenfish,71,9,4,44.44444444444444
longtail tuna,397,44,21,47.72727272727273
luderick,231,26,19,73.07692307692307
mackerel tuna,188,20,10,50.0
mahi mahi,535,59,53,89.83050847457628
mangrove jack,809,103,80,77.66990291262135
mulloway,372,37,25,67.56756756756756
needleskin queenfish,72,12,6,50.0
northern sand flathead,21,4,2,50.0
northern whiting,51,4,3,75.0
pearl perch,149,15,12,80.0
people,48,2,1,50.0
pikey bream,34,6,2,33.33333333333333
river,245,26,22,84.61538461538461
river garfish,16,2,0,0.0
river perch,2,0,0,0
samsonfish,259,20,10,50.0
sand whiting,81,7,4,57.14285714285714
scaly jewfish,3,1,0,0.0
school mackerel,57,6,0,0.0
scribbled rabbitfish,90,9,7,77.77777777777779
sea,91,4,4,100.0
sea mullet,185,17,14,82.35294117647058
shark mackerel,70,5,3,60.0
silver javelin,24,4,1,25.0
silver jewfish,32,4,0,0.0
small spotted dart,84,8,7,87.5
snapper,448,46,17,36.95652173913043
snub nosed dart,347,29,27,93.10344827586206
snubnose garfish,10,1,0,0.0
spanish mackerel,454,45,8,17.77777777777778
spotted mackerel,122,13,5,38.46153846153847
stout whiting,10,3,2,66.66666666666666
striped barracuda,97,11,9,81.81818181818183
swallow tailed dart,10,1,0,0.0
tailor,591,52,25,48.07692307692308
tarwhine,77,4,2,50.0
teraglin,66,6,1,16.666666666666664
three by two garfish,10,1,0,0.0
trumpeter winter whiting,20,1,0,0.0
wahoo,181,19,16,84.21052631578947
wolf herring,103,12,3,25.0
yellowfin bream,115,16,10,62.5
yellowfin tuna,475,46,20,43.47826086956522
yellowtail kingfish,603,69,20,28.985507246376812
yellowtailed flathead,5,1,0,0.0
