class,dataset size,test size,num correct,correct percentage
amberjack,323,37,17,45.94594594594595
australian bass,378,40,31,77.5
australian bonito,57,7,4,57.14285714285714
barramundi,575,50,24,48.0
barred cheek coral trout,155,14,13,92.85714285714286
barred javelin,97,11,7,63.63636363636363
barred queenfish,12,1,0,0.0
bartailed flathead,192,15,8,53.333333333333336
beach,369,41,40,97.5609756097561
bigeye trevally,60,4,0,0.0
black jewfish,138,13,4,30.76923076923077
blackbanded amberjack,40,3,3,100.0
blackspotted rockcod estuary cod,73,6,6,100.0
blue threadfin,80,8,5,62.5
boat,744,95,88,92.63157894736842
cobia,484,55,39,70.9090909090909
diamondscale mullet,72,7,4,57.14285714285714
dusky flathead,507,45,28,62.22222222222222
frypan bream,16,3,1,33.33333333333333
giant queenfish,192,26,14,53.84615384615385
giant trevally,617,60,40,66.66666666666666
golden snapper fingermark,516,48,34,70.83333333333334
golden trevally,585,58,48,82.75862068965517
goldenline whiting,9,1,0,0.0
goldspotted rockcod estuary cod,53,6,5,83.33333333333334
grass emperor sweetlip,82,11,4,36.36363636363637
great barracuda,736,83,68,81.92771084337349
grey mackerel,23,2,1,50.0
highfin amberjack,128,21,9,42.857142857142854
indoors,481,46,45,97.82608695652173
king threadfin,103,9,3,33.33333333333333
leaping bonito,54,5,2,40.0
lesser queenfish,71,9,2,22.22222222222222
longtail tuna,397,44,11,25.0
luderick,231,26,18,69.23076923076923
mackerel tuna,188,20,12,60.0
mahi mahi,535,59,52,88.13559322033898
mangrove jack,809,103,63,61.165048543689316
mulloway,372,37,17,45.94594594594595
needleskin queenfish,72,12,8,66.66666666666666
northern sand flathead,21,4,1,25.0
northern whiting,51,4,3,75.0
pearl perch,149,15,10,66.66666666666666
people,48,2,1,50.0
pikey bream,34,6,1,16.666666666666664
river,245,26,23,88.46153846153845
river garfish,16,2,0,0.0
river perch,2,0,0,0
samsonfish,259,20,14,70.0
sand whiting,81,7,4,57.14285714285714
scaly jewfish,3,1,0,0.0
school mackerel,57,6,0,0.0
scribbled rabbitfish,90,9,7,77.77777777777779
sea,91,4,4,100.0
sea mullet,185,17,9,52.94117647058824
shark mackerel,70,5,3,60.0
silver javelin,24,4,1,25.0
silver jewfish,32,4,2,50.0
small spotted dart,84,8,6,75.0
snapper,448,46,34,73.91304347826086
snub nosed dart,347,29,21,72.41379310344827
snubnose garfish,10,1,0,0.0
spanish mackerel,454,45,16,35.55555555555556
spotted mackerel,122,13,3,23.076923076923077
stout whiting,10,3,2,66.66666666666666
striped barracuda,97,11,8,72.72727272727273
swallow tailed dart,10,1,0,0.0
tailor,591,52,20,38.46153846153847
tarwhine,77,4,2,50.0
teraglin,66,6,2,33.33333333333333
three by two garfish,10,1,0,0.0
trumpeter winter whiting,20,1,0,0.0
wahoo,181,19,11,57.89473684210527
wolf herring,103,12,3,25.0
yellowfin bream,115,16,10,62.5
yellowfin tuna,475,46,30,65.21739130434783
yellowtail kingfish,603,69,36,52.17391304347826
yellowtailed flathead,5,1,0,0.0
