class,dataset size,test size,num correct,correct percentage
amberjack,323,37,6,16.216216216216218
australian bass,378,40,31,77.5
australian bonito,57,7,3,42.857142857142854
barramundi,571,49,34,69.38775510204081
barred cheek coral trout,155,14,13,92.85714285714286
barred javelin,97,11,5,45.45454545454545
barred queenfish,12,1,0,0.0
bartailed flathead,153,13,10,76.92307692307693
beach,17,2,1,50.0
bigeye trevally,60,4,0,0.0
black jewfish,138,13,1,7.6923076923076925
blackbanded amberjack,40,3,3,100.0
blackspotted rockcod,73,6,3,50.0
blue threadfin,80,8,4,50.0
boat,62,6,2,33.33333333333333
cobia,395,43,27,62.7906976744186
diamondscale mullet,72,7,4,57.14285714285714
dusky flathead,292,25,13,52.0
frypan bream,16,3,1,33.33333333333333
giant queenfish,192,26,13,50.0
giant trevally,617,60,42,70.0
golden snapper fingermark,514,48,39,81.25
golden trevally,585,58,46,79.3103448275862
goldenline whiting,9,1,0,0.0
goldspotted rockcod,53,8,3,37.5
grass emperor sweetlip,62,9,1,11.11111111111111
great barracuda,629,72,56,77.77777777777779
grey mackerel,21,2,1,50.0
highfin amberjack,128,21,15,71.42857142857143
king threadfin,101,9,4,44.44444444444444
leaping bonito,54,5,1,20.0
lesser queenfish,71,9,3,33.33333333333333
longtail tuna,397,44,8,18.181818181818183
luderick,229,26,18,69.23076923076923
mackerel tuna,188,20,12,60.0
mahi mahi,365,41,35,85.36585365853658
mangrove jack,690,94,53,56.38297872340425
misc fish,1805,183,135,73.77049180327869
mulloway,369,37,17,45.94594594594595
needleskin queenfish,72,12,7,58.333333333333336
northern sand flathead,16,4,1,25.0
northern whiting,51,4,3,75.0
pearl perch,149,15,11,73.33333333333333
people,48,2,1,50.0
pikey bream,34,6,2,33.33333333333333
river,245,26,22,84.61538461538461
river garfish,16,2,0,0.0
river perch,2,0,0,0
samsonfish,259,20,13,65.0
sand whiting,79,7,4,57.14285714285714
scaly jewfish,3,1,0,0.0
school mackerel,57,6,0,0.0
scribbled rabbitfish,90,9,8,88.88888888888889
sea,91,4,4,100.0
sea mullet,181,16,6,37.5
shark mackerel,70,5,3,60.0
silver javelin,24,4,0,0.0
silver jewfish,32,4,2,50.0
small spotted dart,84,8,6,75.0
snapper,445,46,30,65.21739130434783
snub nosed dart,347,46,36,78.26086956521739
snubnose garfish,10,1,0,0.0
spanish mackerel,354,36,16,44.44444444444444
spotted mackerel,119,13,2,15.384615384615385
stout whiting,7,2,1,50.0
striped barracuda,87,8,6,75.0
swallow tailed dart,10,1,0,0.0
tailor,589,52,26,50.0
tarwhine,77,4,1,25.0
teraglin,66,6,1,16.666666666666664
three by two garfish,10,1,0,0.0
trumpeter whiting,20,3,0,0.0
wahoo,181,19,11,57.89473684210527
wolf herring,103,12,3,25.0
yellowfin bream,112,14,10,71.42857142857143
yellowfin tuna,473,46,22,47.82608695652174
yellowtail kingfish,600,69,38,55.072463768115945
yellowtailed flathead,5,1,0,0.0
