class,dataset size,test size,num correct,correct percentage
amberjack,329,32,13,40.625
australian_bass,636,61,43,70.49180327868852
australian_bonito,58,6,0,0.0
barramundi,611,58,32,55.172413793103445
barred_cheek_coral_trout,158,15,11,73.33333333333333
barred_javelin,111,10,5,50.0
barred_queenfish,14,2,1,50.0
bartailed_flathead,192,19,10,52.63157894736842
beach,374,36,35,97.22222222222221
bigeye_trevally,97,6,4,66.66666666666666
black_jewfish,143,14,10,71.42857142857143
blackbanded_amberjack,40,4,3,75.0
blackspotted_rockcod_estuary_cod,85,8,7,87.5
blue_threadfin,84,8,4,50.0
boat,1056,102,91,89.2156862745098
cobia,530,48,26,54.166666666666664
diamondscale_mullet,73,8,4,50.0
dusky_flathead,606,58,41,70.6896551724138
frypan_bream,16,2,0,0.0
giant_queenfish,203,20,11,55.00000000000001
giant_trevally,642,61,51,83.60655737704919
golden_snapper_fingermark,521,51,34,66.66666666666666
golden_trevally,599,57,47,82.45614035087719
goldenline_whiting,10,1,0,0.0
goldspotted_rockcod_estuary_cod,61,6,4,66.66666666666666
grass_emperor_sweetlip,86,8,4,50.0
great_barracuda,752,72,47,65.27777777777779
grey_mackerel,22,3,0,0.0
highfin_amberjack,129,12,3,25.0
indoors,483,46,46,100.0
king_threadfin,117,11,7,63.63636363636363
leaping_bonito,55,6,4,66.66666666666666
lesser_queenfish,73,8,4,50.0
longtail_tuna,409,40,25,62.5
luderick,237,22,13,59.09090909090909
mackerel_tuna,194,19,9,47.368421052631575
mahi_mahi,545,52,44,84.61538461538461
mangrove_jack,869,84,66,78.57142857142857
mulloway,402,39,9,23.076923076923077
needleskin_queenfish,75,8,6,75.0
northern_sand_flathead,21,3,0,0.0
northern_whiting,52,6,5,83.33333333333334
pearl_perch,157,15,9,60.0
people,939,90,87,96.66666666666667
pikey_bream,38,4,1,25.0
river,508,48,42,87.5
river_garfish,16,2,0,0.0
river_perch,5,1,0,0.0
samsonfish,272,26,21,80.76923076923077
sand_whiting,147,14,11,78.57142857142857
scaly_jewfish,3,1,0,0.0
school_mackerel,60,6,2,33.33333333333333
scribbled_rabbitfish,90,8,8,100.0
sea,311,30,23,76.66666666666667
sea_mullet,185,18,10,55.55555555555556
shark_mackerel,72,8,4,50.0
silver_javelin,25,3,2,66.66666666666666
silver_jewfish,33,4,2,50.0
small_spotted_dart,85,8,6,75.0
snapper,466,44,26,59.09090909090909
snub_nosed_dart,351,34,30,88.23529411764706
snubnose_garfish,10,1,0,0.0
spanish_mackerel,377,36,29,80.55555555555556
spotted_mackerel,124,12,1,8.333333333333332
stout_whiting,7,1,0,0.0
striped_barracuda,100,9,6,66.66666666666666
swallow_tailed_dart,10,1,0,0.0
tailor,624,60,29,48.333333333333336
tarwhine,81,8,7,87.5
teraglin,71,7,3,42.857142857142854
three_by_two_garfish,10,1,0,0.0
trumpeter_winter_whiting,20,2,1,50.0
wahoo,186,18,6,33.33333333333333
wolf_herring,112,11,8,72.72727272727273
yellowfin_bream,128,12,2,16.666666666666664
yellowfin_tuna,481,46,27,58.69565217391305
yellowtail_kingfish,618,59,23,38.983050847457626
yellowtailed_flathead,6,1,0,0.0
