class,class size,val size,val correct,val percentage
amberjack,337,32,9,28.125
australian_bass,1016,96,68,70.83333333333334
australian_bonito,58,6,2,33.33333333333333
barramundi,792,77,32,41.55844155844156
barred_cheek_coral_trout,203,20,14,70.0
barred_javelin,140,14,3,21.428571428571427
barred_queenfish,20,2,2,100.0
bartailed_flathead,211,21,15,71.42857142857143
beach,380,36,35,97.22222222222221
bigeye_trevally,147,11,6,54.54545454545454
black_jewfish,144,14,4,28.57142857142857
blackbanded_amberjack,41,5,3,60.0
blackspotted_rockcod_estuary_cod,87,8,5,62.5
blue_threadfin,83,8,4,50.0
boat,1056,103,97,94.1747572815534
cobia,656,60,34,56.666666666666664
diamondscale_mullet,136,13,8,61.53846153846154
dusky_flathead,680,65,46,70.76923076923077
frypan_bream,35,4,3,75.0
giant_queenfish,207,20,7,35.0
giant_trevally,652,63,46,73.01587301587301
golden_snapper_fingermark,686,66,40,60.60606060606061
golden_trevally,591,57,40,70.17543859649122
goldenline_whiting,14,2,1,50.0
goldspotted_rockcod_estuary_cod,56,6,4,66.66666666666666
grass_emperor_sweetlip,132,13,7,53.84615384615385
great_barracuda,885,85,63,74.11764705882354
grey_mackerel,21,3,1,33.33333333333333
highfin_amberjack,129,12,5,41.66666666666667
indoors,487,46,46,100.0
king_threadfin,148,14,8,57.14285714285714
leaping_bonito,54,6,2,33.33333333333333
lesser_queenfish,94,9,6,66.66666666666666
longtail_tuna,471,45,19,42.22222222222222
luderick,330,32,25,78.125
mackerel_tuna,388,37,22,59.45945945945946
mahi_mahi,769,74,55,74.32432432432432
mangrove_jack,989,93,59,63.44086021505376
mulloway,534,51,14,27.450980392156865
needleskin_queenfish,75,7,7,100.0
northern_sand_flathead,37,4,0,0.0
northern_whiting,51,6,6,100.0
pearl_perch,242,23,13,56.52173913043478
people,957,91,86,94.5054945054945
pikey_bream,59,6,5,83.33333333333334
river,517,50,47,94.0
river_garfish,17,2,0,0.0
river_perch,5,1,0,0.0
samsonfish,452,43,31,72.09302325581395
sand_whiting,152,15,5,33.33333333333333
scaly_jewfish,6,1,0,0.0
school_mackerel,75,7,4,57.14285714285714
scribbled_rabbitfish,126,12,12,100.0
sea,315,30,28,93.33333333333333
sea_mullet,373,36,23,63.888888888888886
shark_mackerel,71,8,5,62.5
silver_javelin,45,5,3,60.0
silver_jewfish,42,5,5,100.0
small_spotted_dart,85,8,6,75.0
snapper,473,45,28,62.22222222222222
snub_nosed_dart,477,46,28,60.86956521739131
snubnose_garfish,14,2,0,0.0
spanish_mackerel,442,43,21,48.837209302325576
spotted_mackerel,169,16,11,68.75
stout_whiting,7,1,0,0.0
striped_barracuda,116,11,10,90.9090909090909
swallow_tailed_dart,23,3,1,33.33333333333333
tailor,921,89,22,24.719101123595504
tarwhine,81,8,5,62.5
teraglin,94,9,2,22.22222222222222
three_by_two_garfish,11,2,0,0.0
trumpeter_winter_whiting,27,3,3,100.0
wahoo,186,18,11,61.111111111111114
wolf_herring,151,15,10,66.66666666666666
yellowfin_bream,122,12,4,33.33333333333333
yellowfin_tuna,484,46,31,67.3913043478261
yellowtail_kingfish,674,65,35,53.84615384615385
yellowtailed_flathead,13,2,0,0.0
,,,,56.54682477925864

training accuracy,69.70495581626892
validation accuracy,64.37647342681885
