class,dataset size,test size,num correct,correct percentage
amberjack,329,32,16,50.0
australian_bass,790,76,54,71.05263157894737
australian_bonito,58,6,0,0.0
barramundi,654,63,37,58.730158730158735
barred_cheek_coral_trout,158,15,11,73.33333333333333
barred_javelin,114,11,2,18.181818181818183
barred_queenfish,14,2,1,50.0
bartailed_flathead,192,19,8,42.10526315789473
beach,374,36,34,94.44444444444444
bigeye_trevally,97,6,5,83.33333333333334
black_jewfish,143,14,3,21.428571428571427
blackbanded_amberjack,40,4,3,75.0
blackspotted_rockcod_estuary_cod,87,8,6,75.0
blue_threadfin,96,9,4,44.44444444444444
boat,1056,102,91,89.2156862745098
cobia,531,48,31,64.58333333333334
diamondscale_mullet,73,8,3,37.5
dusky_flathead,639,61,38,62.295081967213115
frypan_bream,16,2,0,0.0
giant_queenfish,205,20,14,70.0
giant_trevally,648,62,47,75.80645161290323
golden_snapper_fingermark,521,51,29,56.86274509803921
golden_trevally,604,58,47,81.03448275862068
goldenline_whiting,12,2,0,0.0
goldspotted_rockcod_estuary_cod,65,7,4,57.14285714285714
grass_emperor_sweetlip,86,8,5,62.5
great_barracuda,752,72,46,63.888888888888886
grey_mackerel,22,3,0,0.0
highfin_amberjack,129,12,3,25.0
indoors,483,46,46,100.0
king_threadfin,121,11,8,72.72727272727273
leaping_bonito,55,6,3,50.0
lesser_queenfish,73,8,4,50.0
longtail_tuna,409,40,32,80.0
luderick,237,22,15,68.18181818181817
mackerel_tuna,194,19,8,42.10526315789473
mahi_mahi,545,52,42,80.76923076923077
mangrove_jack,877,84,74,88.09523809523809
mulloway,407,39,24,61.53846153846154
needleskin_queenfish,75,8,6,75.0
northern_sand_flathead,21,3,0,0.0
northern_whiting,52,6,4,66.66666666666666
pearl_perch,158,15,12,80.0
people,939,90,87,96.66666666666667
pikey_bream,39,4,1,25.0
river,508,48,44,91.66666666666666
river_garfish,16,2,0,0.0
river_perch,5,1,0,0.0
samsonfish,272,26,19,73.07692307692307
sand_whiting,150,15,14,93.33333333333333
scaly_jewfish,3,1,0,0.0
school_mackerel,65,7,1,14.285714285714285
scribbled_rabbitfish,90,8,8,100.0
sea,311,30,25,83.33333333333334
sea_mullet,185,18,14,77.77777777777779
shark_mackerel,72,8,3,37.5
silver_javelin,25,3,1,33.33333333333333
silver_jewfish,33,4,2,50.0
small_spotted_dart,85,8,6,75.0
snapper,467,44,29,65.9090909090909
snub_nosed_dart,351,34,30,88.23529411764706
snubnose_garfish,10,1,0,0.0
spanish_mackerel,378,36,24,66.66666666666666
spotted_mackerel,125,12,3,25.0
stout_whiting,7,1,0,0.0
striped_barracuda,101,9,6,66.66666666666666
swallow_tailed_dart,10,1,0,0.0
tailor,626,60,26,43.333333333333336
tarwhine,81,8,7,87.5
teraglin,71,7,2,28.57142857142857
three_by_two_garfish,10,1,0,0.0
trumpeter_winter_whiting,20,2,2,100.0
wahoo,187,18,12,66.66666666666666
wolf_herring,112,11,7,63.63636363636363
yellowfin_bream,132,13,8,61.53846153846154
yellowfin_tuna,481,46,17,36.95652173913043
yellowtail_kingfish,618,59,23,38.983050847457626
yellowtailed_flathead,7,1,0,0.0
