class,dataset size,test size,num correct,correct percentage
amberjack,329,32,14,43.75
australian_bass,636,61,45,73.77049180327869
australian_bonito,58,6,0,0.0
barramundi,611,58,37,63.793103448275865
barred_cheek_coral_trout,158,15,14,93.33333333333333
barred_javelin,111,10,5,50.0
barred_queenfish,14,2,1,50.0
bartailed_flathead,192,19,5,26.31578947368421
beach,374,36,35,97.22222222222221
bigeye_trevally,97,6,5,83.33333333333334
black_jewfish,143,14,5,35.714285714285715
blackbanded_amberjack,40,4,3,75.0
blackspotted_rockcod_estuary_cod,85,8,7,87.5
blue_threadfin,84,8,6,75.0
boat,1056,102,90,88.23529411764706
cobia,530,48,30,62.5
diamondscale_mullet,73,8,5,62.5
dusky_flathead,606,58,42,72.41379310344827
frypan_bream,16,2,0,0.0
giant_queenfish,203,20,8,40.0
giant_trevally,642,61,43,70.49180327868852
golden_snapper_fingermark,521,51,41,80.3921568627451
golden_trevally,599,57,43,75.43859649122807
goldenline_whiting,10,1,0,0.0
goldspotted_rockcod_estuary_cod,61,6,4,66.66666666666666
grass_emperor_sweetlip,86,8,4,50.0
great_barracuda,752,72,62,86.11111111111111
grey_mackerel,22,3,0,0.0
highfin_amberjack,129,12,2,16.666666666666664
indoors,483,46,46,100.0
king_threadfin,117,11,8,72.72727272727273
leaping_bonito,55,6,3,50.0
lesser_queenfish,73,8,3,37.5
longtail_tuna,409,40,27,67.5
luderick,237,22,16,72.72727272727273
mackerel_tuna,194,19,5,26.31578947368421
mahi_mahi,545,52,42,80.76923076923077
mangrove_jack,869,84,36,42.857142857142854
mulloway,402,39,16,41.02564102564102
needleskin_queenfish,75,8,7,87.5
northern_sand_flathead,21,3,0,0.0
northern_whiting,52,6,5,83.33333333333334
pearl_perch,157,15,13,86.66666666666667
people,939,90,87,96.66666666666667
pikey_bream,38,4,1,25.0
river,508,48,45,93.75
river_garfish,16,2,1,50.0
river_perch,5,1,0,0.0
samsonfish,272,26,16,61.53846153846154
sand_whiting,147,14,10,71.42857142857143
scaly_jewfish,3,1,0,0.0
school_mackerel,60,6,2,33.33333333333333
scribbled_rabbitfish,90,8,8,100.0
sea,311,30,25,83.33333333333334
sea_mullet,185,18,12,66.66666666666666
shark_mackerel,72,8,4,50.0
silver_javelin,25,3,2,66.66666666666666
silver_jewfish,33,4,2,50.0
small_spotted_dart,85,8,6,75.0
snapper,466,44,29,65.9090909090909
snub_nosed_dart,351,34,25,73.52941176470588
snubnose_garfish,10,1,0,0.0
spanish_mackerel,377,36,19,52.77777777777778
spotted_mackerel,124,12,4,33.33333333333333
stout_whiting,7,1,0,0.0
striped_barracuda,100,9,4,44.44444444444444
swallow_tailed_dart,10,1,0,0.0
tailor,624,60,27,45.0
tarwhine,81,8,7,87.5
teraglin,71,7,2,28.57142857142857
three_by_two_garfish,10,1,0,0.0
trumpeter_winter_whiting,20,2,2,100.0
wahoo,186,18,11,61.111111111111114
wolf_herring,112,11,8,72.72727272727273
yellowfin_bream,128,12,2,16.666666666666664
yellowfin_tuna,481,46,22,47.82608695652174
yellowtail_kingfish,618,59,40,67.79661016949152
yellowtailed_flathead,6,1,0,0.0
