class,class size,val size,val correct,val percentage
amberjack,331,32,24,75.0
australian_bass,979,92,70,76.08695652173914
australian_bonito,57,6,2,33.33333333333333
barramundi,782,75,31,41.333333333333336
barred_cheek_coral_trout,202,19,14,73.68421052631578
barred_javelin,113,11,2,18.181818181818183
barred_queenfish,20,2,2,100.0
bartailed_flathead,208,20,14,70.0
beach,376,36,34,94.44444444444444
bigeye_trevally,146,10,8,80.0
black_jewfish,142,14,10,71.42857142857143
blackbanded_amberjack,40,4,3,75.0
blackspotted_rockcod_estuary_cod,87,8,5,62.5
blue_threadfin,96,9,4,44.44444444444444
boat,1047,102,93,91.17647058823529
cobia,643,59,48,81.35593220338984
diamondscale_mullet,126,12,10,83.33333333333334
dusky_flathead,636,61,43,70.49180327868852
frypan_bream,35,4,1,25.0
giant_queenfish,205,20,16,80.0
giant_trevally,645,62,53,85.48387096774194
golden_snapper_fingermark,623,60,35,58.333333333333336
golden_trevally,601,58,49,84.48275862068965
goldenline_whiting,17,2,1,50.0
goldspotted_rockcod_estuary_cod,64,7,5,71.42857142857143
grass_emperor_sweetlip,129,12,10,83.33333333333334
great_barracuda,880,84,61,72.61904761904762
grey_mackerel,22,3,0,0.0
highfin_amberjack,129,12,2,16.666666666666664
indoors,485,46,46,100.0
king_threadfin,147,14,13,92.85714285714286
leaping_bonito,54,6,3,50.0
lesser_queenfish,93,9,6,66.66666666666666
longtail_tuna,461,44,24,54.54545454545454
luderick,321,31,23,74.19354838709677
mackerel_tuna,386,37,26,70.27027027027027
mahi_mahi,761,74,61,82.43243243243244
mangrove_jack,981,93,81,87.09677419354838
mulloway,521,51,25,49.01960784313725
needleskin_queenfish,74,8,6,75.0
northern_sand_flathead,35,4,1,25.0
northern_whiting,51,6,5,83.33333333333334
pearl_perch,233,22,16,72.72727272727273
people,936,90,86,95.55555555555556
pikey_bream,60,6,3,50.0
river,510,48,43,89.58333333333334
river_garfish,17,2,0,0.0
river_perch,5,1,0,0.0
samsonfish,447,42,22,52.38095238095239
sand_whiting,151,15,12,80.0
scaly_jewfish,6,1,0,0.0
school_mackerel,78,7,3,42.857142857142854
scribbled_rabbitfish,126,10,8,80.0
sea,313,30,23,76.66666666666667
sea_mullet,322,31,18,58.06451612903226
shark_mackerel,71,8,1,12.5
silver_javelin,46,5,3,60.0
silver_jewfish,40,4,3,75.0
small_spotted_dart,85,8,6,75.0
snapper,469,44,24,54.54545454545454
snub_nosed_dart,433,42,29,69.04761904761905
snubnose_garfish,13,2,0,0.0
spanish_mackerel,460,43,26,60.46511627906976
spotted_mackerel,172,17,4,23.52941176470588
stout_whiting,7,1,0,0.0
striped_barracuda,100,9,6,66.66666666666666
swallow_tailed_dart,23,3,1,33.33333333333333
tailor,915,88,42,47.72727272727273
tarwhine,81,8,6,75.0
teraglin,94,9,2,22.22222222222222
three_by_two_garfish,11,2,0,0.0
trumpeter_winter_whiting,27,3,0,0.0
wahoo,187,18,6,33.33333333333333
wolf_herring,148,14,8,57.14285714285714
yellowfin_bream,132,13,8,61.53846153846154
yellowfin_tuna,483,46,31,67.3913043478261
yellowtail_kingfish,666,64,35,54.6875
yellowtailed_flathead,12,2,0,0.0
,,,,56.75030072711399

training accuracy,83.9286744594574
validation accuracy,69.57149505615234
