class,dataset size,test size,num correct,correct percentage
amberjack,327,31,9,29.03225806451613
australian_bass,411,40,15,37.5
australian_bonito,58,6,2,33.33333333333333
barramundi,602,57,31,54.385964912280706
barred_cheek_coral_trout,158,15,13,86.66666666666667
barred_javelin,107,10,6,60.0
barred_queenfish,14,2,1,50.0
bartailed_flathead,192,19,10,52.63157894736842
beach,374,36,35,97.22222222222221
bigeye_trevally,97,6,5,83.33333333333334
black_jewfish,143,14,3,21.428571428571427
blackbanded_amberjack,40,4,3,75.0
blackspotted_rockcod_estuary_cod,79,7,4,57.14285714285714
blue_threadfin,83,8,3,37.5
boat,1056,102,89,87.25490196078431
cobia,529,48,35,72.91666666666666
diamondscale_mullet,73,8,5,62.5
dusky_flathead,518,50,33,66.0
frypan_bream,16,2,0,0.0
giant_queenfish,195,19,10,52.63157894736842
giant_trevally,637,61,43,70.49180327868852
golden_snapper_fingermark,521,51,34,66.66666666666666
golden_trevally,595,57,46,80.7017543859649
goldenline_whiting,9,1,0,0.0
goldspotted_rockcod_estuary_cod,58,6,4,66.66666666666666
grass_emperor_sweetlip,84,8,4,50.0
great_barracuda,752,72,53,73.61111111111111
grey_mackerel,22,3,0,0.0
highfin_amberjack,129,12,3,25.0
indoors,483,46,46,100.0
king_threadfin,106,10,4,40.0
leaping_bonito,55,6,4,66.66666666666666
lesser_queenfish,73,8,2,25.0
longtail_tuna,409,40,16,40.0
luderick,237,22,16,72.72727272727273
mackerel_tuna,194,19,12,63.1578947368421
mahi_mahi,540,52,46,88.46153846153845
mangrove_jack,847,82,61,74.39024390243902
mulloway,390,38,29,76.31578947368422
needleskin_queenfish,75,8,7,87.5
northern_sand_flathead,21,3,0,0.0
northern_whiting,52,6,5,83.33333333333334
pearl_perch,152,15,10,66.66666666666666
people,939,90,87,96.66666666666667
pikey_bream,34,4,4,100.0
river,508,48,46,95.83333333333334
river_garfish,16,2,0,0.0
river_perch,5,1,1,100.0
samsonfish,272,26,15,57.692307692307686
sand_whiting,147,14,9,64.28571428571429
scaly_jewfish,3,1,0,0.0
school_mackerel,60,6,2,33.33333333333333
scribbled_rabbitfish,90,8,8,100.0
sea,311,30,22,73.33333333333333
sea_mullet,185,18,9,50.0
shark_mackerel,72,8,3,37.5
silver_javelin,24,3,2,66.66666666666666
silver_jewfish,33,4,2,50.0
small_spotted_dart,85,8,6,75.0
snapper,457,43,23,53.48837209302325
snub_nosed_dart,351,34,30,88.23529411764706
snubnose_garfish,10,1,0,0.0
spanish_mackerel,362,35,20,57.14285714285714
spotted_mackerel,122,12,7,58.333333333333336
stout_whiting,7,1,0,0.0
striped_barracuda,99,9,6,66.66666666666666
swallow_tailed_dart,10,1,0,0.0
tailor,621,59,18,30.508474576271187
tarwhine,78,7,5,71.42857142857143
teraglin,71,7,2,28.57142857142857
three_by_two_garfish,10,1,0,0.0
trumpeter_winter_whiting,20,2,2,100.0
wahoo,186,18,12,66.66666666666666
wolf_herring,112,11,8,72.72727272727273
yellowfin_bream,119,11,5,45.45454545454545
yellowfin_tuna,476,46,32,69.56521739130434
yellowtail_kingfish,616,59,43,72.88135593220339
yellowtailed_flathead,6,1,0,0.0
