class,dataset size,test size,num correct,correct percentage
amberjack,323,37,8,21.62162162162162
australian bass,378,40,18,45.0
australian bonito,57,7,4,57.14285714285714
barramundi,571,49,29,59.183673469387756
barred cheek coral trout,157,17,10,58.82352941176471
barred javelin,97,11,5,45.45454545454545
barred queenfish,12,1,0,0.0
bartailed flathead,153,13,8,61.53846153846154
beach,17,2,1,50.0
bigeye trevally,60,4,0,0.0
black jewfish,138,13,7,53.84615384615385
blackbanded amberjack,40,3,3,100.0
blackspotted rockcod,73,6,3,50.0
blue threadfin,80,8,4,50.0
boat,62,6,1,16.666666666666664
cobia,395,43,26,60.46511627906976
diamondscale mullet,72,7,4,57.14285714285714
dusky flathead,292,25,15,60.0
frypan bream,16,3,1,33.33333333333333
giant queenfish,192,26,17,65.38461538461539
giant trevally,617,60,47,78.33333333333333
golden snapper fingermark,514,48,39,81.25
golden trevally,585,58,46,79.3103448275862
goldenline whiting,9,1,0,0.0
goldspotted rockcod,53,8,3,37.5
grass emperor sweetlip,62,9,2,22.22222222222222
great barracuda,629,72,60,83.33333333333334
grey mackerel,21,2,1,50.0
highfin amberjack,128,21,13,61.904761904761905
king threadfin,101,9,4,44.44444444444444
leaping bonito,54,5,2,40.0
lesser queenfish,71,9,2,22.22222222222222
longtail tuna,397,44,12,27.27272727272727
luderick,229,26,21,80.76923076923077
mackerel tuna,188,20,10,50.0
mahi mahi,365,41,31,75.60975609756098
mangrove jack,563,78,42,53.84615384615385
misc fish,1805,183,151,82.5136612021858
mulloway,369,37,15,40.54054054054054
needleskin queenfish,72,12,6,50.0
northern sand flathead,16,4,1,25.0
northern whiting,51,4,3,75.0
pearl perch,149,15,11,73.33333333333333
people,48,2,0,0.0
pikey bream,34,6,2,33.33333333333333
river,245,26,24,92.3076923076923
river garfish,16,2,0,0.0
river perch,2,0,0,0
samsonfish,259,20,13,65.0
sand whiting,79,7,4,57.14285714285714
scaly jewfish,3,1,0,0.0
school mackerel,57,6,0,0.0
scribbled rabbitfish,90,9,8,88.88888888888889
sea,91,4,4,100.0
sea mullet,181,16,10,62.5
shark mackerel,70,5,4,80.0
silver javelin,24,4,0,0.0
silver jewfish,32,4,1,25.0
small spotted dart,84,8,7,87.5
snapper,445,46,33,71.73913043478261
snub nosed dart,347,46,31,67.3913043478261
snubnose garfish,10,1,0,0.0
spanish mackerel,354,36,1,2.7777777777777777
spotted mackerel,119,13,4,30.76923076923077
stout whiting,7,2,1,50.0
striped barracuda,87,8,6,75.0
swallow tailed dart,10,1,0,0.0
tailor,589,52,18,34.61538461538461
tarwhine,77,4,2,50.0
teraglin,66,6,2,33.33333333333333
three by two garfish,10,1,0,0.0
trumpeter whiting,20,3,0,0.0
wahoo,181,19,14,73.68421052631578
wolf herring,103,12,4,33.33333333333333
yellowfin bream,112,14,8,57.14285714285714
yellowfin tuna,473,46,30,65.21739130434783
yellowtail kingfish,600,69,46,66.66666666666666
yellowtailed flathead,5,1,0,0.0
