class,dataset size,test size,num correct,correct percentage
amberjack,323,37,9,24.324324324324326
australian bass,378,40,32,80.0
australian bonito,57,7,4,57.14285714285714
barramundi,575,50,36,72.0
barred cheek coral trout,155,14,13,92.85714285714286
barred javelin,97,11,8,72.72727272727273
barred queenfish,12,1,0,0.0
bartailed flathead,192,15,8,53.333333333333336
beach,17,2,1,50.0
bigeye trevally,60,4,1,25.0
black jewfish,138,13,5,38.46153846153847
blackbanded amberjack,40,3,3,100.0
blackspotted rockcod,73,6,4,66.66666666666666
blue threadfin,80,8,5,62.5
boat,62,6,4,66.66666666666666
cobia,484,55,34,61.81818181818181
diamondscale mullet,72,7,4,57.14285714285714
dusky flathead,507,45,28,62.22222222222222
frypan bream,16,3,1,33.33333333333333
giant queenfish,192,26,18,69.23076923076923
giant trevally,617,60,48,80.0
golden snapper fingermark,516,48,36,75.0
golden trevally,585,58,43,74.13793103448276
goldenline whiting,9,1,0,0.0
goldspotted rockcod,53,8,4,50.0
grass emperor sweetlip,82,11,6,54.54545454545454
great barracuda,736,83,64,77.10843373493977
grey mackerel,23,2,1,50.0
highfin amberjack,128,21,10,47.61904761904761
king threadfin,103,9,5,55.55555555555556
leaping bonito,54,5,2,40.0
lesser queenfish,71,9,2,22.22222222222222
longtail tuna,397,44,11,25.0
luderick,231,26,20,76.92307692307693
mackerel tuna,188,20,9,45.0
mahi mahi,535,59,46,77.96610169491525
mangrove jack,809,103,58,56.310679611650485
mulloway,372,37,8,21.62162162162162
needleskin queenfish,72,12,7,58.333333333333336
northern sand flathead,21,4,2,50.0
northern whiting,51,4,3,75.0
pearl perch,149,15,12,80.0
people,48,2,0,0.0
pikey bream,34,6,1,16.666666666666664
river,245,26,24,92.3076923076923
river garfish,16,2,0,0.0
river perch,2,0,0,0
samsonfish,259,20,8,40.0
sand whiting,81,7,4,57.14285714285714
scaly jewfish,3,1,0,0.0
school mackerel,57,6,1,16.666666666666664
scribbled rabbitfish,90,9,7,77.77777777777779
sea,91,4,4,100.0
sea mullet,185,17,13,76.47058823529412
shark mackerel,70,5,3,60.0
silver javelin,24,4,1,25.0
silver jewfish,32,4,1,25.0
small spotted dart,84,8,6,75.0
snapper,448,46,30,65.21739130434783
snub nosed dart,347,46,34,73.91304347826086
snubnose garfish,10,1,0,0.0
spanish mackerel,454,45,19,42.22222222222222
spotted mackerel,122,13,2,15.384615384615385
stout whiting,10,3,2,66.66666666666666
striped barracuda,97,11,9,81.81818181818183
swallow tailed dart,10,1,0,0.0
tailor,591,52,29,55.769230769230774
tarwhine,77,4,2,50.0
teraglin,66,6,2,33.33333333333333
three by two garfish,10,1,0,0.0
trumpeter whiting,20,3,0,0.0
wahoo,181,19,13,68.42105263157895
wolf herring,103,12,3,25.0
yellowfin bream,115,16,10,62.5
yellowfin tuna,475,46,30,65.21739130434783
yellowtail kingfish,603,69,56,81.15942028985508
yellowtailed flathead,5,1,0,0.0
