class,class size,val size,val n_correct,val accuracy
Acestridium gymnogaster,3,1,0, 0.000
Acestrorhynchus abbreviatus,1,1,0, 0.000
Acestrorhynchus altus,34,5,0, 0.000
Acestrorhynchus falcatus,145,17,4,23.529
Acestrorhynchus falcirostris,88,10,1,10.000
Acestrorhynchus isalineae,33,5,0, 0.000
Acestrorhynchus lacustris,4,1,0, 0.000
Acestrorhynchus microlepis,10,2,0, 0.000
Acestrorhynchus minimus,15,2,0, 0.000
Acestrorhynchus nasutus,15,3,2,66.667
Acestrorhynchus pantaneiro,31,4,0, 0.000
Acheilognathus asmussii,7,1,0, 0.000
Acheilognathus barbatulus,7,2,0, 0.000
Acheilognathus cyanostigma,65,8,1,12.500
Acheilognathus elongatus,28,4,0, 0.000
Acheilognathus gracilis,8,1,0, 0.000
Acheilognathus hondae,4,1,0, 0.000
Acheilognathus intermedia,2,1,0, 0.000
Acheilognathus longipinnis,41,6,3,50.000
Acheilognathus macropterus,34,5,0, 0.000
Acheilognathus majusculus,13,2,0, 0.000
Acheilognathus melanogaster,108,13,2,15.385
Acheilognathus meridianus,7,1,0, 0.000
Acheilognathus rhombeus,159,19,9,47.368
Acheilognathus tabira,237,28,13,46.429
Acheilognathus taenianalis,3,1,0, 0.000
Acheilognathus tonkinensis,27,4,0, 0.000
Acheilognathus typus,34,5,1,20.000
Acheilognathus yamatsutae,34,5,3,60.000
Achiroides melanorhynchus,2,1,0, 0.000
Achiropsetta tricholepis,1,1,0, 0.000
Achirus achirus,90,10,3,30.000
Achirus lineatus,24,3,0, 0.000
Achirus scutum,4,1,0, 0.000
Achoerodus gouldii,67,8,2,25.000
Achoerodus viridis,275,33,15,45.455
Achondrostoma arcasii,44,6,0, 0.000
Achondrostoma occidentale,52,7,0, 0.000
Achondrostoma oligolepis,32,4,0, 0.000
Achondrostoma salmantinum,11,2,0, 0.000
Acipenser baerii,141,17,8,47.059
Acipenser brevirostrum,126,15,5,33.333
Acipenser dabryanus,76,9,0, 0.000
Acipenser fulvescens,262,31,11,35.484
Acipenser gueldenstaedtii,173,21,8,38.095
Acipenser medirostris,65,7,0, 0.000
Acipenser mikadoi,22,3,0, 0.000
Acipenser naccarii,110,13,3,23.077
Acipenser nudiventris,87,10,0, 0.000
Acipenser oxyrinchus,127,15,3,20.000
Acipenser persicus,103,12,0, 0.000
Acipenser ruthenus,186,22,16,72.727
Acipenser schrenckii,51,7,1,14.286
Acipenser sinensis,158,19,1, 5.263
Acipenser stellatus,135,16,5,31.250
Acipenser sturio,158,19,7,36.842
Acipenser transmontanus,173,21,11,52.381
Acnodon normani,77,9,0, 0.000
Acnodon oligacanthus,8,1,0, 0.000
Acnodon senai,2,1,0, 0.000
Acreichthys hajam,6,1,0, 0.000
Acreichthys radiatus,68,8,1,12.500
Acreichthys tomentosus,135,16,10,62.500
Acrobrycon ipanquianus,19,3,0, 0.000
Acrocheilus alutaceus,36,5,0, 0.000
Acrochordonichthys rugosus,13,2,0, 0.000
Acropoma japonicum,23,4,2,50.000
Acropoma lecorneti,1,1,0, 0.000
Acrossocheilus beijiangensis,6,1,0, 0.000
Acrossocheilus fasciatus,21,3,0, 0.000
Acrossocheilus hemispinus,4,1,0, 0.000
Acrossocheilus iridescens,1,1,0, 0.000
Acrossocheilus longipinnis,10,2,0, 0.000
Acrossocheilus paradoxus,97,11,2,18.182
Acrossocheilus parallens,8,2,0, 0.000
Acrossocheilus yunnanensis,2,1,0, 0.000
Acroteriobatus annulatus,2,1,0, 0.000
Acroteriobatus blochii,5,1,0, 0.000
Aculeola nigra,48,7,1,14.286
Acyrtus artius,2,1,0, 0.000
Adelosebastes latens,50,7,1,14.286
Adelotremus leptus,1,1,0, 0.000
Adontosternarchus balaenops,2,1,0, 0.000
Adontosternarchus clarkae,8,2,0, 0.000
Adontosternarchus devenanzii,7,2,0, 0.000
Adontosternarchus nebulosus,7,2,0, 0.000
Adontosternarchus sachsi,5,1,0, 0.000
Adrianichthys kruyti,8,2,0, 0.000
Adrianichthys oophorus,6,1,0, 0.000
Adventor elongatus,2,1,0, 0.000
Aeoliscus punctulatus,49,6,0, 0.000
Aeoliscus strigatus,145,17,7,41.176
Aequidens chimantanus,3,1,0, 0.000
Aequidens diadema,169,20,5,25.000
Aequidens epae,3,1,0, 0.000
Aequidens metae,186,22,8,36.364
Aequidens michaeli,7,1,0, 0.000
Aequidens pallidus,24,4,0, 0.000
Aequidens paloemeuensis,2,1,0, 0.000
Aequidens patricki,74,8,1,12.500
Aequidens plagiozonatus,7,2,0, 0.000
Aequidens potaroensis,10,2,0, 0.000
Aequidens rondoni,23,3,0, 0.000
Aequidens tetramerus,59,8,3,37.500
Aequidens tubicen,1,1,0, 0.000
Aequidens viridis,21,3,0, 0.000
Aesopia cornuta,65,7,0, 0.000
Aetapcus maculatus,40,5,0, 0.000
Aethaloperca rogaa,244,29,11,37.931
Aethotaxis mitopteryx mitopteryx,7,2,0, 0.000
Aetobatus flagellum,24,3,0, 0.000
Aetobatus narinari,290,35,28,80.000
Aetobatus narutobiei,7,2,0, 0.000
Aetobatus ocellatus,230,27,9,33.333
Aetomylaeus bovinus,15,3,0, 0.000
Aetomylaeus maculatus,12,2,0, 0.000
Aetomylaeus nichofii,12,2,0, 0.000
Aetomylaeus vespertilio,26,4,0, 0.000
Afronandus sheljuzhkoi,14,2,0, 0.000
Afronemacheilus abyssinicus,1,1,0, 0.000
Afurcagobius tamarensis,9,2,0, 0.000
Agamyxis albomaculatus,31,4,0, 0.000
Agamyxis pectinifrons,82,9,3,33.333
Ageneiosus inermis,34,5,0, 0.000
Ageneiosus magoi,39,5,0, 0.000
Ageneiosus marmoratus,68,8,0, 0.000
Ageneiosus militaris,4,1,0, 0.000
Ageneiosus pardalis,6,1,0, 0.000
Ageneiosus polystictus,5,1,0, 0.000
Ageneiosus ucayalensis,14,2,0, 0.000
Ageneiosus uranophthalmus,1,1,0, 0.000
Ageneiosus vittatus,31,4,0, 0.000
Agoniates halecinus,8,1,0, 0.000
Agonomalus jordani,5,1,0, 0.000
Agonomalus proboscidalis,9,2,0, 0.000
Agonopsis chiloensis,5,1,0, 0.000
Agonopsis sterletus,16,2,0, 0.000
Agonopsis vulsa,2,1,0, 0.000
Agonus cataphractus,120,14,3,21.429
Agosia chrysogaster,78,9,0, 0.000
Agrostichthys parkeri,175,21,9,42.857
Aguarunichthys tocantinsensis,7,2,0, 0.000
Aguarunichthys torosus,99,12,3,25.000
Ahlia egmontis,5,1,0, 0.000
Ahliesaurus berryi,6,1,0, 0.000
Aidablennius sphynx,186,22,5,22.727
Ailia coila,26,4,0, 0.000
Ailiichthys punctata,5,1,0, 0.000
Aioliops megastigma,22,3,0, 0.000
Akawaio penak,18,3,2,66.667
Akihito futuna,4,1,0, 0.000
Akihito vanuatu,8,1,0, 0.000
Akko brevis,15,2,0, 0.000
Akko dionaea,7,2,0, 0.000
Akko rossi,56,7,2,28.571
Akrokolioplax bicornis,2,1,0, 0.000
Akysis hendricksoni,8,1,0, 0.000
Akysis longifilis,5,1,0, 0.000
Akysis maculipinnis,4,1,0, 0.000
Akysis portellus,8,1,0, 0.000
Akysis prashadi,8,2,0, 0.000
Akysis varius,3,1,0, 0.000
Akysis vespa,41,6,0, 0.000
Alabes bathys,1,1,0, 0.000
Alabes dorsalis,11,2,0, 0.000
Alabes hoesei,5,1,0, 0.000
Alabes springeri,2,1,0, 0.000
Albatrossia pectoralis,77,9,3,33.333
Albula argentea,8,2,0, 0.000
Albula esuncula,7,2,0, 0.000
Albula gilberti,5,1,0, 0.000
Albula glossodonta,49,7,0, 0.000
Albula goreensis,1,1,0, 0.000
Albula nemoptera,2,1,0, 0.000
Albula oligolepis,2,1,0, 0.000
Albula pacifica,7,1,0, 0.000
Albula virgata,6,1,0, 0.000
Albula vulpes,226,26,12,46.154
Albulichthys albuloides,11,2,1,50.000
Alburnoides bipunctatus,162,19,10,52.632
Alburnoides eichwaldii,1,1,0, 0.000
Alburnoides emineae,2,1,0, 0.000
Alburnoides fasciatus,10,2,0, 0.000
Alburnoides maculatus,7,1,0, 0.000
Alburnoides manyasensis,23,4,1,25.000
Alburnoides ohridanus,1,1,0, 0.000
Alburnoides prespensis,7,1,0, 0.000
Alburnoides qanati,3,1,0, 0.000
Alburnoides recepi,1,1,0, 0.000
Alburnoides rossicus,11,2,0, 0.000
Alburnoides strymonicus,1,1,0, 0.000
Alburnoides taeniatus,1,1,0, 0.000
Alburnus akili,12,2,0, 0.000
Alburnus albidus,32,4,0, 0.000
Alburnus alburnus,198,23,15,65.217
Alburnus arborella,28,4,0, 0.000
Alburnus belvica,8,1,0, 0.000
Alburnus caeruleus,5,1,0, 0.000
Alburnus chalcoides,31,4,0, 0.000
Alburnus macedonicus,2,1,0, 0.000
Alburnus mento,19,3,0, 0.000
Alburnus mossulensis,5,1,0, 0.000
Alburnus nasreddini,3,1,0, 0.000
Alburnus sarmaticus,2,1,0, 0.000
Alburnus sava,3,1,0, 0.000
Alburnus schischkovi,1,1,0, 0.000
Alburnus scoranza,32,4,0, 0.000
Alburnus tarichi,26,4,0, 0.000
Alburnus thessalicus,2,1,0, 0.000
Alburnus vistonicus,1,1,0, 0.000
Alcichthys elongatus,14,2,0, 0.000
Alcolapia alcalica,91,10,3,30.000
Alcolapia grahami,33,5,0, 0.000
Alcolapia latilabris,7,1,0, 0.000
Alcolapia ndalalani,2,1,0, 0.000
Aldrichetta forsteri,98,12,0, 0.000
Aldrovandia affinis,16,3,0, 0.000
Aldrovandia gracilis,8,2,0, 0.000
Aldrovandia oleosa,1,1,0, 0.000
Aldrovandia phalacra,6,1,0, 0.000
Aldrovandia rostrata,5,1,0, 0.000
Alectis alexandrina,32,4,0, 0.000
Alectis ciliaris,215,26,13,50.000
Alectis indica,71,8,3,37.500
Alectridium aurantiacum,1,1,0, 0.000
Alepes apercna,8,2,0, 0.000
Alepes djedaba,83,9,0, 0.000
Alepes kleinii,16,3,0, 0.000
Alepes melanoptera,8,2,0, 0.000
Alepes vari,70,8,0, 0.000
Alepidomus evermanni,14,2,0, 0.000
Alepisaurus brevirostris,58,8,0, 0.000
Alepisaurus ferox,121,14,8,57.143
Alepocephalus agassizii,3,1,0, 0.000
Alepocephalus bairdii,15,2,2,100.000
Alepocephalus bicolor,2,1,0, 0.000
Alepocephalus dentifer,2,1,0, 0.000
Alepocephalus productus,2,1,0, 0.000
Alepocephalus rostratus,15,2,0, 0.000
Alepocephalus tenebrosus,7,2,0, 0.000
Alepocephalus triangularis,3,1,0, 0.000
Alertichthys blacki,7,2,0, 0.000
Alestes ansorgii,1,1,0, 0.000
Alestes baremoze,98,12,0, 0.000
Alestes dentex,48,7,0, 0.000
Alestes macrophthalmus,7,2,0, 0.000
Alestopetersius brichardi,65,8,0, 0.000
Alestopetersius caudalis,160,19,7,36.842
Alestopetersius hilgendorfi,32,4,1,25.000
Alestopetersius leopoldianus,7,2,0, 0.000
Alestopetersius nigropterus,53,7,1,14.286
Alestopetersius smykalai,71,8,2,25.000
Alfaro cultratus,106,12,1, 8.333
Alfaro huberi,24,3,0, 0.000
Algansea popoche,6,1,0, 0.000
Alionematichthys minyomma,1,1,0, 0.000
Allenbatrachus grunniens,80,9,0, 0.000
Allenichthys glauerti,3,1,0, 0.000
Alloblennius pictus,32,4,0, 0.000
Allocareproctus unangas,1,1,0, 0.000
Alloclinus holderi,81,9,2,22.222
Allocyttus niger,27,4,1,25.000
Allocyttus verrucosus,21,3,0, 0.000
Allodontichthys hubbsi,7,1,0, 0.000
Allodontichthys polylepis,7,1,0, 0.000
Allodontichthys zonistius,1,1,0, 0.000
Allomicrodesmus dorotheae,4,1,0, 0.000
Allomogurnda nesolepis,8,2,0, 0.000
Allomogurnda sampricei,1,1,0, 0.000
Allomycterus pilatus,33,5,1,20.000
Alloophorus robustus,47,6,2,33.333
Allosmerus elongatus,16,3,0, 0.000
Allothunnus fallai,24,3,0, 0.000
Allotoca diazi,5,1,0, 0.000
Allotoca dugesii,27,4,0, 0.000
Allotoca goslinei,9,2,0, 0.000
Allotoca maculata,23,3,1,33.333
Allotoca meeki,1,1,0, 0.000
Allotoca regalis,9,2,0, 0.000
Allotoca zacapuensis,20,3,1,33.333
Alopias pelagicus,208,24,10,41.667
Alopias superciliosus,177,21,6,28.571
Alopias vulpinus,175,21,8,38.095
Alosa aestivalis,120,14,1, 7.143
Alosa agone,57,8,0, 0.000
Alosa alabamae,22,3,0, 0.000
Alosa alosa,105,13,0, 0.000
Alosa braschnikowi,8,2,0, 0.000
Alosa caspia,43,6,0, 0.000
Alosa chrysochloris,102,12,3,25.000
Alosa fallax,183,22,6,27.273
Alosa immaculata,24,3,0, 0.000
Alosa kessleri,43,6,0, 0.000
Alosa killarnensis,4,1,0, 0.000
Alosa macedonica,6,1,0, 0.000
Alosa maeotica,13,2,0, 0.000
Alosa mediocris,72,8,0, 0.000
Alosa pseudoharengus,129,16,2,12.500
Alosa sapidissima,180,21,9,42.857
Alosa tanaica,7,1,0, 0.000
Alosa volgensis,9,2,0, 0.000
Alphestes afer,54,7,0, 0.000
Alphestes immaculatus,58,8,2,25.000
Alphestes multiguttatus,6,1,0, 0.000
Alticorpus macrocleithrum,1,1,0, 0.000
Alticorpus mentale,3,1,0, 0.000
Alticorpus peterdaviesi,3,1,0, 0.000
