class,class size,val size,val n_correct,val accuracy
Amphiprion chrysogaster,56,8,0, 0.000
Amphiprion chrysopterus,112,13,6,46.154
Amphiprion clarkii,85,10,1,10.000
Amphiprion ephippium,88,10,5,50.000
Amphiprion frenatus,77,9,2,22.222
Amphiprion fuscocaudatus,13,2,0, 0.000
Amphiprion latezonatus,48,6,0, 0.000
Amphiprion latifasciatus,48,6,0, 0.000
Amphiprion leucokranos,31,4,0, 0.000
Amphiprion mccullochi,23,4,0, 0.000
Amphiprion melanopus,64,7,0, 0.000
Amphiprion nigripes,91,10,3,30.000
Amphiprion ocellaris,31,4,0, 0.000
Amphiprion omanensis,40,6,0, 0.000
Amphiprion pacificus,26,4,0, 0.000
Amphiprion percula,24,4,0, 0.000
Amphiprion perideraion,105,12,4,33.333
Amphiprion polymnus,69,8,0, 0.000
Amphiprion rubrocinctus,21,3,0, 0.000
Amphiprion sandaracinos,104,12,7,58.333
Amphiprion sebae,66,7,1,14.286
Amphiprion thiellei,20,3,0, 0.000
Amphiprion tricinctus,40,5,0, 0.000
Amphistichus argenteus,56,8,0, 0.000
Amphistichus koelzi,12,2,0, 0.000
Amphistichus rhodoterus,57,8,0, 0.000
Amsichthys knighti,8,1,0, 0.000
Anabarilius alburnops,1,1,0, 0.000
Anabarilius grahami,7,1,0, 0.000
Anabas cobojius,15,3,0, 0.000
Anabas testudineus,262,31,19,61.290
Anableps anableps,167,20,14,70.000
Anableps dowei,20,3,0, 0.000
Anableps microlepis,23,3,1,33.333
Anablepsoides amphoreus,5,1,0, 0.000
Anablepsoides atratus,2,1,0, 0.000
Anablepsoides beniensis,4,1,0, 0.000
Anablepsoides christinae,1,1,0, 0.000
Anablepsoides cryptocallus,2,1,0, 0.000
Anablepsoides derhami,4,1,0, 0.000
Anablepsoides hartii,19,3,1,33.333
Anablepsoides igneus,9,2,0, 0.000
Anablepsoides immaculatus,1,1,0, 0.000
Anablepsoides lanceolatus,1,1,0, 0.000
Anablepsoides ornatus,7,2,0, 0.000
Anablepsoides rubrolineatus,4,1,0, 0.000
Anablepsoides stagnatus,5,1,0, 0.000
Anablepsoides urophthalmus,8,1,0, 0.000
Anablepsoides waimacui,2,1,0, 0.000
Anablepsoides xinguensis,1,1,0, 0.000
Anacanthobatis folirostris,3,1,0, 0.000
Anacanthus barbatus,25,4,0, 0.000
Anadoras grypus,16,3,0, 0.000
Anadoras regani,1,1,0, 0.000
Anadoras weddellii,12,2,0, 0.000
Anaecypris hispanica,107,13,0, 0.000
Anampses caeruleopunctatus,90,10,3,30.000
Anampses chrysocephalus,64,7,1,14.286
Anampses cuvier,120,15,2,13.333
Anampses elegans,52,7,0, 0.000
Anampses femininus,115,14,6,42.857
Anampses geographicus,21,3,0, 0.000
Anampses lennardi,137,16,7,43.750
Anampses lineatus,46,6,0, 0.000
Anampses melanurus,83,9,0, 0.000
Anampses meleagrides,92,11,6,54.545
Anampses neoguinaicus,74,8,5,62.500
Anampses twistii,108,13,2,15.385
Anaora tentaculata,8,2,0, 0.000
Anarchias allardicei,1,1,0, 0.000
Anarchias euryurus,6,1,0, 0.000
Anarchias galapagensis,13,2,0, 0.000
Anarchias leucurus,42,6,4,66.667
Anarchias seychellensis,18,3,0, 0.000
Anarchias supremus,3,1,0, 0.000
Anarhichas denticulatus,56,8,0, 0.000
Anarhichas lupus,180,22,13,59.091
Anarhichas minor,129,16,2,12.500
Anarhichas orientalis,132,16,6,37.500
Anarrhichthys ocellatus,219,26,19,73.077
Anatolanthias apiomycter,4,1,0, 0.000
Ancharius fuscus,1,1,0, 0.000
Anchichoerops natalensis,8,1,0, 0.000
Anchicyclocheilus halfibindus,3,1,0, 0.000
Anchoa cubana,8,2,0, 0.000
Anchoa curta,1,1,0, 0.000
Anchoa hepsetus,21,3,1,33.333
Anchoa ischana,4,1,0, 0.000
Anchoa lucida,3,1,0, 0.000
Anchoa lyolepis,8,1,0, 0.000
Anchoa marinii,4,1,0, 0.000
Anchoa mitchilli,50,7,1,14.286
Anchoa nasus,18,3,0, 0.000
Anchoa parva,32,5,0, 0.000
Anchoa pectoralis,23,3,0, 0.000
Anchoa tricolor,3,1,0, 0.000
Anchovia clupeoides,1,1,0, 0.000
Anchovia macrolepidota,6,1,0, 0.000
Anchovia surinamensis,1,1,0, 0.000
Anchoviella alleni,14,2,0, 0.000
Anchoviella balboae,5,1,0, 0.000
Anchoviella lepidentostole,24,3,0, 0.000
Anchoviella perfasciata,1,1,0, 0.000
Ancistrogobius squamiceps,1,1,0, 0.000
Ancistrogobius yoshigoui,2,1,0, 0.000
Ancistrus aguaboensis,44,6,0, 0.000
Ancistrus bolivianus,9,2,0, 0.000
Ancistrus brevifilis,1,1,0, 0.000
Ancistrus bufonius,1,1,0, 0.000
Ancistrus caucanus,9,2,0, 0.000
Ancistrus chagresi,5,1,0, 0.000
Ancistrus cirrhosus,108,13,3,23.077
Ancistrus claro,113,13,0, 0.000
Ancistrus cryptophthalmus,12,2,1,50.000
Ancistrus cuiabae,16,3,0, 0.000
Ancistrus damasceni,2,1,0, 0.000
Ancistrus dolichopterus,97,11,0, 0.000
Ancistrus dubius,1,1,0, 0.000
Ancistrus falconensis,1,1,0, 0.000
Ancistrus formoso,24,3,0, 0.000
Ancistrus greeni,125,15,2,13.333
Ancistrus gymnorhynchus,12,2,0, 0.000
Ancistrus hoplogenys,81,9,1,11.111
Ancistrus latifrons,4,1,0, 0.000
Ancistrus leucostictus,62,7,0, 0.000
Ancistrus lineolatus,9,2,0, 0.000
Ancistrus macrophthalmus,23,4,0, 0.000
Ancistrus maculatus,115,14,0, 0.000
Ancistrus maracasae,1,1,0, 0.000
Ancistrus marcapatae,7,2,0, 0.000
Ancistrus martini,16,3,0, 0.000
Ancistrus minutus,3,1,0, 0.000
Ancistrus montanus,2,1,0, 0.000
Ancistrus multispinis,58,8,0, 0.000
Ancistrus nudiceps,4,1,0, 0.000
Ancistrus occidentalis,23,4,0, 0.000
Ancistrus pirareta,18,3,0, 0.000
Ancistrus ranunculus,135,16,6,37.500
Ancistrus reisi,1,1,0, 0.000
Ancistrus salgadae,1,1,0, 0.000
Ancistrus sericeus,8,2,0, 0.000
Ancistrus spinosus,47,6,0, 0.000
Ancistrus stigmaticus,3,1,0, 0.000
Ancistrus tamboensis,48,6,0, 0.000
Ancistrus temminckii,125,15,2,13.333
Ancistrus triradiatus,74,8,1,12.500
Ancylopsetta cycloidea,3,1,0, 0.000
Ancylopsetta dendritica,7,1,0, 0.000
Ancylopsetta dilecta,24,3,1,33.333
Ancylopsetta ommata,12,2,0, 0.000
Andamia reyi,6,1,0, 0.000
Andamia tetradactylus,7,2,0, 0.000
Andeancistrus platycephalus,1,1,0, 0.000
Andinoacara biseriatus,18,3,0, 0.000
Andinoacara blombergi,1,1,0, 0.000
Andinoacara coeruleopunctatus,12,2,0, 0.000
Andinoacara latifrons,97,11,0, 0.000
Andinoacara pulcher,188,22,13,59.091
Andinoacara rivulatus,226,26,19,73.077
Andinoacara sapayensis,4,1,0, 0.000
Andinoacara stalsbergi,65,8,0, 0.000
Andriashevicottus megacephalus,1,1,0, 0.000
Anduzedoras oxyrhynchus,4,1,0, 0.000
Anematichthys repasson,1,1,0, 0.000
Anguilla anguilla,241,28,18,64.286
Anguilla australis,120,15,1, 6.667
Anguilla bengalensis,147,18,1, 5.556
Anguilla bicolor,51,7,0, 0.000
Anguilla borneensis,7,1,0, 0.000
Anguilla celebesensis,8,2,0, 0.000
Anguilla dieffenbachii,98,11,2,18.182
Anguilla interioris,2,1,0, 0.000
Anguilla japonica,90,10,2,20.000
Anguilla labiata,19,3,0, 0.000
Anguilla luzonensis,3,1,0, 0.000
Anguilla malgumora,7,1,0, 0.000
Anguilla marmorata,138,16,8,50.000
Anguilla megastoma,5,1,0, 0.000
Anguilla mossambica,31,4,0, 0.000
Anguilla nebulosa,48,6,0, 0.000
Anguilla obscura,26,4,0, 0.000
Anguilla reinhardtii,77,9,0, 0.000
Anguilla rostrata,195,22,6,27.273
Anisarchus medius,14,2,1,50.000
Anisochromis kenyae,6,1,0, 0.000
Anisotremus caesius,14,2,0, 0.000
Anisotremus davidsonii,68,8,1,12.500
Anisotremus interruptus,184,22,13,59.091
Anisotremus moricandi,19,3,0, 0.000
Anisotremus scapularis,24,3,0, 0.000
Anisotremus surinamensis,221,26,3,11.538
Anisotremus taeniatus,134,16,3,18.750
Anisotremus virginicus,291,35,17,48.571
Annamia normani,74,8,0, 0.000
Annamia thuathienensis,1,1,0, 0.000
Anodontiglanis dahli,11,2,0, 0.000
Anodontostoma chacunda,34,5,0, 0.000
Anodus elongatus,5,1,0, 0.000
Anomalochromis thomasi,244,29,22,75.862
Anomalops katoptron,72,8,2,25.000
Anoplarchus insignis,7,1,0, 0.000
Anoplarchus purpurescens,33,5,1,20.000
Anoplocapros amygdaloides,16,3,1,33.333
Anoplocapros inermis,93,11,5,45.455
Anoplocapros lenticularis,75,9,0, 0.000
Anoplogaster brachycera,34,5,0, 0.000
Anoplogaster cornuta,129,16,12,75.000
Anoplopoma fimbria,106,13,2,15.385
Anoptoplacus pygmaeus,4,1,0, 0.000
Anostomoides laticeps,3,1,0, 0.000
Anostomus anostomus,110,13,10,76.923
Anostomus brevior,7,1,0, 0.000
Anostomus ternetzi,80,9,1,11.111
Anotopterus nikparini,6,1,0, 0.000
Anotopterus pharao,16,3,0, 0.000
Anoxypristis cuspidata,127,15,6,40.000
Antennarius biocellatus,65,8,0, 0.000
Antennarius commerson,162,19,16,84.211
Antennarius hispidus,48,6,0, 0.000
Antennarius indicus,14,2,0, 0.000
Antennarius maculatus,61,7,2,28.571
Antennarius multiocellatus,106,12,3,25.000
Antennarius pardalis,31,4,0, 0.000
Antennarius pauciradiatus,15,3,0, 0.000
Antennarius pictus,125,15,7,46.667
Antennarius randalli,52,7,3,42.857
Antennarius striatus,98,12,10,83.333
Antennatus analis,32,5,3,60.000
Antennatus bermudensis,7,2,0, 0.000
Antennatus coccineus,27,4,0, 0.000
Antennatus dorehensis,4,1,0, 0.000
Antennatus linearis,2,1,0, 0.000
Antennatus nummifer,22,3,0, 0.000
Antennatus rosaceus,28,4,4,100.000
Antennatus sanguineus,54,7,0, 0.000
Antennatus tuberosus,7,2,0, 0.000
Anthias anthias,455,55,47,85.455
Anthias asperilinguis,12,2,0, 0.000
Anthias cyprinoides,14,2,0, 0.000
Anthias nicholsi,8,1,0, 0.000
Anthias noeli,11,2,0, 0.000
Anthias woodsi,30,4,0, 0.000
Antigonia capros,88,10,1,10.000
Antigonia combatia,2,1,0, 0.000
Antigonia eos,6,1,0, 0.000
Antigonia rubescens,31,4,2,50.000
Antigonia rubicunda,23,3,0, 0.000
Antilligobius nikkiae,28,4,0, 0.000
Antimora microlepis,22,3,0, 0.000
Antimora rostrata,43,6,1,16.667
Anyperodon leucogrammicus,322,38,17,44.737
Apareiodon affinis,65,7,2,28.571
Apareiodon hasemani,2,1,0, 0.000
Apareiodon vittatus,3,1,0, 0.000
Apeltes quadracus,49,7,1,14.286
Aphanius almiriensis,8,1,0, 0.000
Aphanius anatoliae,42,6,3,50.000
Aphanius apodus,14,2,0, 0.000
Aphanius arakensis,22,3,1,33.333
Aphanius asquamatus,13,2,0, 0.000
Aphanius baeticus,52,7,0, 0.000
Aphanius danfordii,18,3,0, 0.000
Aphanius dispar,145,18,4,22.222
Aphanius farsicus,32,4,2,50.000
Aphanius fasciatus,161,19,6,31.579
Aphanius furcatus,1,1,0, 0.000
Aphanius ginaonis,9,2,0, 0.000
Aphanius iberus,159,19,11,57.895
Aphanius isfahanensis,4,1,0, 0.000
Aphanius marassantensis,2,1,0, 0.000
Aphanius mento,78,9,4,44.444
Aphanius mesopotamicus,5,1,0, 0.000
Aphanius punctatus,6,1,0, 0.000
Aphanius saourensis,9,2,0, 0.000
Aphanius sirhani,21,3,0, 0.000
Aphanius sophiae,19,3,0, 0.000
Aphanius splendens,31,4,0, 0.000
Aphanius sureyanus,15,2,0, 0.000
Aphanius transgrediens,25,4,0, 0.000
Aphanius villwocki,16,3,0, 0.000
Aphanius vladykovi,31,4,0, 0.000
Aphanopus carbo,99,12,2,16.667
Aphanotorulus ammophilus,56,8,1,12.500
Aphanotorulus unicolor,18,3,0, 0.000
Aphareus furca,81,9,5,55.556
Aphareus rutilans,88,10,5,50.000
Aphia minuta,150,18,4,22.222
Aphos porosus,10,2,0, 0.000
Aphredoderus sayanus,172,20,9,45.000
Aphyocharax agassizii,16,2,0, 0.000
Aphyocharax alburnus,68,8,4,50.000
Aphyocharax anisitsi,153,18,13,72.222
Aphyocharax dentatus,25,4,0, 0.000
Aphyocharax erythrurus,9,2,0, 0.000
Aphyocharax gracilis,19,3,0, 0.000
Aphyocharax nattereri,99,12,4,33.333
Aphyocharax rathbuni,144,17,4,23.529
Aphyocypris amnis,4,1,0, 0.000
Aphyocypris chinensis,49,6,0, 0.000
Aphyocypris kikuchii,52,7,2,28.571
Aphyocypris lini,15,2,0, 0.000
Aphyocypris moltrechti,1,1,0, 0.000
Aphyolebias boticarioi,7,1,0, 0.000
Aphyolebias peruensis,72,8,3,37.500
Aphyolebias rubrocaudatus,32,4,1,25.000
Aphyolebias schleseri,9,2,0, 0.000
Aphyonus gelatinosus,16,3,0, 0.000
Aphyosemion abacinum,22,3,0, 0.000
Aphyosemion ahli,53,7,3,42.857
Aphyosemion alpha,17,3,0, 0.000
Aphyosemion amoenum,14,2,0, 0.000
Aphyosemion aureum,8,1,0, 0.000
Aphyosemion australe,183,22,18,81.818
Aphyosemion bamilekorum,15,2,0, 0.000
Aphyosemion batesii,31,4,0, 0.000
Aphyosemion bitaeniatum,93,11,5,45.455
Aphyosemion bitteri,3,1,0, 0.000
Aphyosemion bivittatum,83,9,3,33.333
Aphyosemion bualanum,19,3,0, 0.000
Aphyosemion callipteron,8,2,0, 0.000
Aphyosemion calliurum,37,5,0, 0.000
Aphyosemion cameronense,23,3,0, 0.000
Aphyosemion campomaanense,3,1,0, 0.000
Aphyosemion castaneum,10,2,0, 0.000
Aphyosemion caudofasciatum,8,1,0, 0.000
Aphyosemion celiae,81,10,3,30.000
Aphyosemion christyi,31,4,0, 0.000
Aphyosemion citrineipinnis,10,2,0, 0.000
Aphyosemion coeleste,24,3,1,33.333
Aphyosemion cognatum,53,7,3,42.857
Aphyosemion congicum,13,2,0, 0.000
Aphyosemion cyanostictum,24,4,0, 0.000
Aphyosemion dargei,22,3,0, 0.000
Aphyosemion decorsei,12,2,0, 0.000
Aphyosemion edeanum,7,1,0, 0.000
Aphyosemion elberti,58,8,3,37.500
Aphyosemion elegans,24,3,0, 0.000
Aphyosemion erythron,5,1,0, 0.000
Aphyosemion escherichi,4,1,0, 0.000
Aphyosemion etsamense,2,1,0, 0.000
Aphyosemion exigoideum,19,3,0, 0.000
Aphyosemion exiguum,22,3,0, 0.000
Aphyosemion franzwerneri,7,2,0, 0.000
Aphyosemion fulgens,46,6,1,16.667
Aphyosemion gabunense,93,11,4,36.364
Aphyosemion georgiae,40,5,1,20.000
Aphyosemion heinemanni,2,1,0, 0.000
Aphyosemion hera,103,12,3,25.000
Aphyosemion herzogi,19,3,0, 0.000
Aphyosemion hofmanni,1,1,0, 0.000
Aphyosemion jeanhuberi,7,2,0, 0.000
Aphyosemion joergenscheeli,16,2,2,100.000
Aphyosemion kouamense,5,1,0, 0.000
Aphyosemion koungueense,4,1,0, 0.000
Aphyosemion labarrei,24,4,0, 0.000
Aphyosemion lamberti,16,2,0, 0.000
Aphyosemion lefiniense,3,1,0, 0.000
Aphyosemion lividum,7,2,0, 0.000
Aphyosemion loennbergii,27,4,0, 0.000
Aphyosemion louessense,44,6,0, 0.000
Aphyosemion lugens,7,1,0, 0.000
Aphyosemion maculatum,15,2,0, 0.000
Aphyosemion malumbresi,8,1,0, 0.000
Aphyosemion melanogaster,3,1,0, 0.000
Aphyosemion melinoeides,7,1,0, 0.000
Aphyosemion mengilai,2,1,0, 0.000
Aphyosemion mimbon,16,3,0, 0.000
Aphyosemion musafirii,2,1,0, 0.000
Aphyosemion ocellatum,45,6,0, 0.000
Aphyosemion ogoense,52,7,1,14.286
Aphyosemion omega,8,1,0, 0.000
Aphyosemion pamaense,17,3,0, 0.000
Aphyosemion pascheni,26,4,2,50.000
Aphyosemion passaroi,6,1,0, 0.000
Aphyosemion plagitaenium,1,1,0, 0.000
Aphyosemion poliaki,51,7,0, 0.000
Aphyosemion polli,12,2,0, 0.000
Aphyosemion primigenium,74,8,1,12.500
Aphyosemion punctatum,18,3,0, 0.000
Aphyosemion punctulatum,8,1,0, 0.000
Aphyosemion raddai,2,1,0, 0.000
Aphyosemion rectogoense,14,2,0, 0.000
Aphyosemion riggenbachi,40,6,2,33.333
Aphyosemion schioetzi,6,1,0, 0.000
Aphyosemion schoutedeni,31,4,0, 0.000
Aphyosemion seegersi,4,1,0, 0.000
Aphyosemion splendopleure,120,15,5,33.333
Aphyosemion striatum,117,14,7,50.000
Aphyosemion thysi,14,2,0, 0.000
Aphyosemion tirbaki,5,1,0, 0.000
Aphyosemion trilineatus,22,3,0, 0.000
Aphyosemion volcanum,46,6,2,33.333
Aphyosemion wachtersi,10,2,0, 0.000
Aphyosemion wildekampi,2,1,0, 0.000
Apistogramma acrensis,24,3,0, 0.000
Apistogramma agassizii,233,27,13,48.148
Apistogramma aguarico,7,2,0, 0.000
Apistogramma alacrina,106,12,3,25.000
Apistogramma allpahuayo,38,5,0, 0.000
Apistogramma arua,36,5,1,20.000
Apistogramma atahualpa,105,12,4,33.333
Apistogramma baenschi,129,16,13,81.250
Apistogramma barlowi,108,13,2,15.385
Apistogramma bitaeniata,169,20,12,60.000
Apistogramma borellii,221,26,20,76.923
Apistogramma brevis,112,13,1, 7.692
Apistogramma cacatuoides,204,24,22,91.667
Apistogramma caetei,70,8,0, 0.000
Apistogramma cinilabra,35,5,0, 0.000
Apistogramma commbrae,74,9,0, 0.000
Apistogramma cruzi,72,8,0, 0.000
Apistogramma diplotaenia,91,11,9,81.818
Apistogramma elizabethae,146,18,7,38.889
Apistogramma eremnopyge,90,11,2,18.182
Apistogramma erythrura,73,9,0, 0.000
Apistogramma eunotus,74,9,3,33.333
Apistogramma flabellicauda,18,3,2,66.667
Apistogramma geisleri,44,6,0, 0.000
Apistogramma gephyra,76,9,1,11.111
Apistogramma gibbiceps,91,11,7,63.636
Apistogramma gossei,105,12,0, 0.000
Apistogramma guttata,88,10,4,40.000
Apistogramma helkeri,9,2,0, 0.000
Apistogramma hippolytae,34,5,0, 0.000
Apistogramma hoignei,111,13,2,15.385
Apistogramma hongsloi,154,19,9,47.368
Apistogramma huascar,52,7,0, 0.000
Apistogramma inconspicua,8,1,0, 0.000
Apistogramma iniridae,52,7,3,42.857
Apistogramma inornata,5,1,0, 0.000
Apistogramma intermedia,24,4,0, 0.000
Apistogramma juruensis,104,12,8,66.667
Apistogramma kullanderi,30,4,0, 0.000
Apistogramma lineata,37,5,0, 0.000
Apistogramma linkei,25,4,0, 0.000
Apistogramma luelingi,32,5,0, 0.000
Apistogramma macmasteri,190,22,10,45.455
Apistogramma martini,53,7,0, 0.000
Apistogramma megaptera,32,4,1,25.000
Apistogramma meinkeni,18,3,0, 0.000
Apistogramma mendezi,114,13,7,53.846
Apistogramma minima,51,7,0, 0.000
Apistogramma moae,10,2,0, 0.000
Apistogramma nijsseni,183,22,12,54.545
Apistogramma norberti,74,8,0, 0.000
Apistogramma ortegai,82,9,2,22.222
Apistogramma ortmanni,18,3,0, 0.000
Apistogramma panduro,175,21,12,57.143
Apistogramma pantalone,23,3,0, 0.000
Apistogramma paucisquamis,55,7,1,14.286
Apistogramma paulmuelleri,25,4,0, 0.000
Apistogramma payaminonis,8,1,0, 0.000
Apistogramma pedunculata,24,4,0, 0.000
Apistogramma personata,40,5,0, 0.000
Apistogramma pertensis,77,9,0, 0.000
Apistogramma piaroa,57,7,0, 0.000
Apistogramma piauiensis,38,5,0, 0.000
Apistogramma playayacu,13,2,0, 0.000
Apistogramma pleurotaenia,1,1,0, 0.000
Apistogramma pulchra,108,13,6,46.154
Apistogramma regani,73,9,1,11.111
Apistogramma resticulosa,10,2,0, 0.000
Apistogramma rositae,57,8,0, 0.000
Apistogramma rubrolineata,18,3,0, 0.000
Apistogramma rupununi,31,4,0, 0.000
Apistogramma salpinction,4,1,0, 0.000
Apistogramma similis,133,16,1, 6.250
Apistogramma staecki,55,7,0, 0.000
Apistogramma steindachneri,93,11,0, 0.000
Apistogramma taeniata,14,2,0, 0.000
Apistogramma trifasciata,209,24,17,70.833
Apistogramma tucurui,75,9,2,22.222
Apistogramma uaupesi,87,10,4,40.000
Apistogramma urteagai,11,2,0, 0.000
Apistogramma velifera,80,9,1,11.111
Apistogramma viejita,164,20,7,35.000
Apistogramma wapisana,8,1,0, 0.000
Apistogramma wolli,8,1,0, 0.000
Apistogrammoides pucallpaensis,90,11,4,36.364
Apistoloricaria condei,1,1,0, 0.000
Apistoloricaria ommation,17,3,3,100.000
Apistops caloundra,4,1,0, 0.000
Apistus carinatus,99,12,6,50.000
Aplatophis chauliodus,32,5,0, 0.000
Aplatophis zorro,5,1,0, 0.000
Apletodon dentatus,86,10,1,10.000
Apletodon incognitus,15,2,0, 0.000
Apletodon pellegrini,16,3,0, 0.000
Aploactis aspera,7,2,0, 0.000
Aploactisoma milesii,42,6,1,16.667
Aplocheilichthys spilauchen,56,7,1,14.286
Aplocheilus blockii,38,5,1,20.000
Aplocheilus dayi,41,6,0, 0.000
Aplocheilus kirchmayeri,16,3,0, 0.000
Aplocheilus lineatus,130,16,11,68.750
Aplocheilus panchax,145,17,8,47.059
Aplocheilus parvus,23,4,2,50.000
Aplocheilus werneri,31,4,0, 0.000
Aplochiton taeniatus,4,1,0, 0.000
Aplochiton zebra,18,3,0, 0.000
Aplodactylus arctidens,32,4,0, 0.000
Aplodactylus etheridgii,14,2,0, 0.000
Aplodactylus lophodon,21,3,0, 0.000
Aplodactylus punctatus,6,1,0, 0.000
Aplodactylus westralis,3,1,0, 0.000
Aplodinotus grunniens,211,26,7,26.923
Apocryptes bato,31,4,0, 0.000
Apocryptodon madurensis,12,2,0, 0.000
Apocryptodon punctatus,38,5,2,40.000
Apodichthys flavidus,25,4,0, 0.000
Apodichthys fucorum,14,2,0, 0.000
Apogon americanus,34,5,0, 0.000
Apogon atradorsatus,67,8,4,50.000
Apogon atricaudus,6,1,0, 0.000
Apogon aurolineatus,16,2,0, 0.000
Apogon axillaris,8,1,0, 0.000
Apogon binotatus,68,8,0, 0.000
Apogon campbelli,7,1,0, 0.000
Apogon caudicinctus,6,1,0, 0.000
Apogon coccineus,44,6,0, 0.000
Apogon crassiceps,28,4,1,25.000
Apogon dammermani,1,1,0, 0.000
Apogon dhofar,5,1,0, 0.000
Apogon dianthus,1,1,0, 0.000
Apogon doryssa,28,4,0, 0.000
Apogon dovii,7,1,0, 0.000
Apogon erythrinus,73,8,1,12.500
Apogon erythrosoma,8,2,0, 0.000
Apogon gouldi,1,1,0, 0.000
Apogon guadalupensis,32,4,0, 0.000
Apogon imberbis,331,40,18,45.000
Apogon indicus,20,3,0, 0.000
Apogon lachneri,26,4,0, 0.000
Apogon latus,61,7,0, 0.000
Apogon leptocaulus,2,1,0, 0.000
Apogon maculatus,152,18,3,16.667
Apogon nitidus,7,2,0, 0.000
Apogon pacificus,14,2,0, 0.000
Apogon phenax,4,1,0, 0.000
Apogon pillionatus,1,1,0, 0.000
Apogon planifrons,8,2,0, 0.000
Apogon posterofasciatus,3,1,0, 0.000
Apogon pseudomaculatus,65,8,3,37.500
Apogon quadrisquamatus,7,1,0, 0.000
Apogon retrosella,15,3,0, 0.000
Apogon seminigracaudus,3,1,0, 0.000
Apogon semiornatus,31,4,2,50.000
Apogon talboti,16,3,0, 0.000
Apogon townsendi,34,5,1,20.000
Apogon tricinctus,1,1,0, 0.000
Apogon unicolor,9,2,0, 0.000
Apogon unitaeniatus,2,1,0, 0.000
Apogonichthyoides brevicaudatus,1,1,0, 0.000
Apogonichthyoides cathetogramma,18,3,2,66.667
Apogonichthyoides melas,20,3,1,33.333
Apogonichthyoides niger,50,7,2,28.571
Apogonichthyoides nigripinnis,2,1,0, 0.000
Apogonichthyoides opercularis,1,1,0, 0.000
Apogonichthyoides pharaonis,5,1,0, 0.000
Apogonichthyoides sialis,2,1,0, 0.000
Apogonichthyoides timorensis,1,1,0, 0.000
Apogonichthyoides umbratilis,5,1,0, 0.000
Apogonichthys ocellatus,8,1,0, 0.000
Apogonichthys perdix,7,2,0, 0.000
Apogonops anomalus,3,1,0, 0.000
Apolemichthys arcuatus,135,16,4,25.000
Apolemichthys armitagei,8,2,0, 0.000
Apolemichthys griffisi,91,11,2,18.182
Apolemichthys guezei,21,3,1,33.333
Apolemichthys kingi,92,11,5,45.455
Apolemichthys trimaculatus,215,26,16,61.538
Apolemichthys xanthopunctatus,104,12,6,50.000
Apolemichthys xanthotis,106,12,1, 8.333
Apolemichthys xanthurus,128,15,6,40.000
Aporops bilinearis,21,3,0, 0.000
Aposturisoma myriodon,11,2,0, 0.000
Aprion virescens,218,26,6,23.077
Apristurus ampliceps,2,1,0, 0.000
Apristurus australis,3,1,0, 0.000
Apristurus brunneus,31,4,0, 0.000
Apristurus bucephalus,1,1,0, 0.000
Apristurus exsanguis,4,1,0, 0.000
Apristurus fedorovi,1,1,0, 0.000
Apristurus gibbosus,3,1,0, 0.000
Apristurus herklotsi,6,1,0, 0.000
Apristurus indicus,1,1,0, 0.000
Apristurus kampae,7,1,0, 0.000
Apristurus laurussonii,10,2,0, 0.000
Apristurus longicephalus,4,1,0, 0.000
Apristurus manis,8,1,0, 0.000
Apristurus melanoasper,9,2,0, 0.000
Apristurus micropterygeus,2,1,0, 0.000
Apristurus parvipinnis,3,1,0, 0.000
Apristurus pinguis,3,1,0, 0.000
Apristurus platyrhynchus,5,1,0, 0.000
Apristurus profundorum,9,2,0, 0.000
Apristurus saldanha,2,1,0, 0.000
Apsilus dentatus,23,3,0, 0.000
Apterichtus anguiformis,7,1,0, 0.000
Apterichtus caecus,26,4,0, 0.000
Apterichtus equatorialis,8,2,2,100.000
Apterichtus flavicaudus,6,1,0, 0.000
Apterichtus klazingai,31,4,0, 0.000
Apterichtus moseri,4,1,0, 0.000
Apteronotus albifrons,135,16,10,62.500
Apteronotus bonapartii,16,2,0, 0.000
Apteronotus brasiliensis,12,2,0, 0.000
Apteronotus cuchillo,32,5,0, 0.000
Apteronotus galvisi,1,1,0, 0.000
Apteronotus leptorhynchus,74,8,0, 0.000
Apteronotus rostratus,9,2,0, 0.000
Apterygocampus epinnulatus,8,1,0, 0.000
Aptocyclus ventricosus,116,14,7,50.000
Aptychotrema rostrata,105,12,6,50.000
Aptychotrema timorensis,4,1,0, 0.000
Aptychotrema vincentiana,25,4,0, 0.000
Arabibarbus grypus,14,2,0, 0.000
Aracana aurita,145,17,2,11.765
Aracana ornata,188,22,9,40.909
Araiocypris batodes,1,1,0, 0.000
Arapaima agassizii,15,3,2,66.667
Arapaima gigas,272,32,14,43.750
Arapaima leptosoma,147,18,1, 5.556
Arapaima mapae,208,25,6,24.000
Archamia bleekeri,39,5,1,20.000
Archiaphyosemion guineense,8,1,0, 0.000
Archistes biseriatus,7,1,0, 0.000
Archocentrus centrarchus,209,25,8,32.000
Archoplites interruptus,122,15,4,26.667
Archosargus pourtalesii,7,2,0, 0.000
Archosargus probatocephalus,192,22,8,36.364
Archosargus rhomboidalis,64,7,2,28.571
Arcos erythrops,3,1,0, 0.000
Arcos nudus,9,2,0, 0.000
Arctogadus glacialis,69,8,0, 0.000
Arctoscopus japonicus,105,13,2,15.385
Arctozenus risso,13,2,0, 0.000
Arcygobius baliurus,7,2,0, 0.000
