class,class size,val size,val n_correct,val accuracy
amberjack,265,32,24,75.000
australian_bass,819,95,85,89.474
australian_bonito,46,6,4,66.667
barramundi,633,76,71,93.421
barred_cheek_coral_trout,164,19,15,78.947
barred_javelin,116,14,11,78.571
barred_queenfish,16,2,2,100.000
bartailed_flathead,168,20,13,65.000
beach,302,36,33,91.667
bigeye_trevally,127,10,7,70.000
black_jewfish,115,14,6,42.857
black_reef_leatherjacket,65,8,1,12.500
black_tipped_rockcod,208,25,17,68.000
blackbanded_amberjack,32,4,2,50.000
blackspotted_rockcod,64,7,4,57.143
bludger_trevally,32,4,1,25.000
blue_maori,91,11,6,54.545
blue_spotted_coral_trout,129,15,10,66.667
blue_threadfin,78,9,6,66.667
blue_tuskfish,15,3,1,33.333
boat,852,102,97,95.098
brown_sweetlips,201,23,6,26.087
cobia,528,59,53,89.831
dark_tailed_seaperch,43,6,4,66.667
diamond_trevally,71,8,4,50.000
diamondscale_mullet,110,13,11,84.615
dusky_flathead,546,65,56,86.154
ferocious_puffer,34,5,2,40.000
frypan_bream,27,4,2,50.000
giant_queenfish,165,20,13,65.000
giant_trevally,524,62,57,91.935
golden_snapper,546,65,56,86.154
golden_trevally,488,58,56,96.552
goldline_whiting,10,2,0, 0.000
goldspotted_rockcod,45,6,4,66.667
goldspotted_sweetlips,196,23,8,34.783
grass_emperor,103,12,9,75.000
great_barracuda,714,84,74,88.095
grey_mackerel,16,3,0, 0.000
highfin_amberjack,105,12,5,41.667
indoors,391,46,46,100.000
khaki_grunter,5,1,0, 0.000
king_threadfin,118,14,11,78.571
leaping_bonito,43,6,5,83.333
lesser_queenfish,75,9,6,66.667
longtail_tuna,371,44,34,77.273
luderick,263,31,28,90.323
mackerel_tuna,310,37,33,89.189
mahi_mahi,616,74,71,95.946
mangrove_jack,758,90,80,88.889
mulloway,418,51,43,84.314
needleskin_queenfish,59,8,7,87.500
northern_bluefin_tuna,270,32,24,75.000
northern_sand_flathead,30,4,2,50.000
northern_saratoga,227,27,19,70.370
northern_whiting,40,6,5,83.333
orangefin_ponyfish,32,5,3,60.000
oxeye_herring,230,27,15,55.556
painted_sweetlips,239,28,14,50.000
papuan_jawfish,16,2,1,50.000
pearl_perch,196,22,18,81.818
people,759,90,88,97.778
pikey_bream,49,6,3,50.000
queensland_groper,266,32,22,68.750
rainbow_monocle_bream,218,26,15,57.692
redthroat_emperor,92,11,4,36.364
reef_stonefish,173,21,17,80.952
river,412,48,45,93.750
river_garfish,13,2,0, 0.000
river_perch,3,1,1,100.000
saddletail_snapper,138,17,5,29.412
samsonfish,361,42,37,88.095
sand_bass,49,6,4,66.667
sand_whiting,120,15,15,100.000
scaly_jewfish,4,1,0, 0.000
school_mackerel,64,7,6,85.714
scribbled_rabbitfish,102,12,12,100.000
sea,251,30,24,80.000
sea_mullet,298,35,29,82.857
sevenspot_archer_fish,241,28,18,64.286
shark_mackerel,56,8,3,37.500
shortfin_batfish,31,4,2,50.000
silver_javelin,36,5,3,60.000
silver_jewfish,32,4,1,25.000
small_spotted_dart,69,8,7,87.500
snapper,379,44,40,90.909
snub_nosed_dart,383,45,42,93.333
snubnose_garfish,10,2,0, 0.000
spanish_flag,92,11,6,54.545
spanish_mackerel,372,43,38,88.372
spotted_mackerel,139,17,11,64.706
spotted_sicklefish,96,11,6,54.545
starry_flounder,256,30,23,76.667
stout_whiting,5,1,0, 0.000
striped_barracuda,93,11,8,72.727
striped_scat,152,18,11,61.111
swallow_tailed_dart,17,3,1,33.333
tailor,742,88,82,93.182
tarwhine,65,8,8,100.000
teraglin,76,9,3,33.333
three_by_two_garfish,7,2,0, 0.000
threespin_frogfish,98,12,2,16.667
tripletail,150,18,11,61.111
trumpeter_whiting,21,3,2,66.667
wahoo,151,18,13,72.222
wolf_herring,119,14,13,92.857
yellow_spotted_emperor,103,12,5,41.667
yellowfin_bream,106,13,13,100.000
yellowfin_tripodfish,11,2,1,50.000
yellowfin_tuna,389,46,34,73.913
yellowtail_kingfish,541,46,44,95.652
yellowtailed_flathead,10,0,0, 0.000

training accuracy,0.9973462664714495
validation accuracy,0.8020833333333334
