class,class size,val size,val correct,val percentage
australian_bass,607,58,48,82.75862068965517
australian_bonito,58,6,1,16.666666666666664
barramundi,724,70,47,67.14285714285714
barred_cheek_coral_trout,201,19,17,89.47368421052632
barred_javelin,99,9,5,55.55555555555556
beach,380,36,35,97.22222222222221
blackspotted_rockcod_estuary_cod,78,7,6,85.71428571428571
boat,1056,103,99,96.11650485436894
cobia,615,59,45,76.27118644067797
dusky_flathead,523,51,43,84.31372549019608
giant_queenfish,196,19,14,73.68421052631578
giant_trevally,635,61,52,85.24590163934425
grass_emperor_sweetlip,130,12,10,83.33333333333334
great_barracuda,885,85,74,87.05882352941177
indoors,487,46,46,100.0
king_threadfin,132,13,9,69.23076923076923
luderick,324,31,25,80.64516129032258
mackerel_tuna,386,37,22,59.45945945945946
mahi_mahi,764,74,69,93.24324324324324
mangrove_jack,943,91,84,92.3076923076923
mulloway,510,48,29,60.416666666666664
pearl_perch,230,22,19,86.36363636363636
people,957,91,85,93.4065934065934
river,517,50,47,94.0
scribbled_rabbitfish,126,12,12,100.0
sea,315,30,30,100.0
snub_nosed_dart,435,42,34,80.95238095238095
tailor,916,88,71,80.68181818181817
yellowtail_kingfish,672,65,50,76.92307692307693
,,,,80.97200262210609

training accuracy,94.78592872619629
validation accuracy,84.49438214302063
