class,dataset size,test size,num correct,correct percentage
amberjack,329,32,12,37.5
australian_bass,636,61,40,65.57377049180327
australian_bonito,58,6,0,0.0
barramundi,611,58,44,75.86206896551724
barred_cheek_coral_trout,158,15,14,93.33333333333333
barred_javelin,111,10,5,50.0
barred_queenfish,14,2,1,50.0
bartailed_flathead,192,19,12,63.1578947368421
beach,374,36,35,97.22222222222221
bigeye_trevally,97,6,4,66.66666666666666
black_jewfish,143,14,10,71.42857142857143
blackbanded_amberjack,40,4,3,75.0
blackspotted_rockcod_estuary_cod,85,8,7,87.5
blue_threadfin,84,8,6,75.0
boat,1056,102,93,91.17647058823529
cobia,530,48,27,56.25
diamondscale_mullet,73,8,4,50.0
dusky_flathead,606,58,33,56.896551724137936
frypan_bream,16,2,0,0.0
giant_queenfish,203,20,13,65.0
giant_trevally,642,61,54,88.52459016393442
golden_snapper_fingermark,521,51,35,68.62745098039215
golden_trevally,599,57,45,78.94736842105263
goldenline_whiting,10,1,0,0.0
goldspotted_rockcod_estuary_cod,61,6,4,66.66666666666666
grass_emperor_sweetlip,86,8,4,50.0
great_barracuda,752,72,41,56.94444444444444
grey_mackerel,22,3,0,0.0
highfin_amberjack,129,12,3,25.0
indoors,483,46,46,100.0
king_threadfin,117,11,7,63.63636363636363
leaping_bonito,55,6,2,33.33333333333333
lesser_queenfish,73,8,3,37.5
longtail_tuna,409,40,22,55.00000000000001
luderick,237,22,16,72.72727272727273
mackerel_tuna,194,19,12,63.1578947368421
mahi_mahi,545,52,44,84.61538461538461
mangrove_jack,869,84,51,60.71428571428571
mulloway,402,39,6,15.384615384615385
needleskin_queenfish,75,8,7,87.5
northern_sand_flathead,21,3,0,0.0
northern_whiting,52,6,5,83.33333333333334
pearl_perch,157,15,11,73.33333333333333
people,939,90,87,96.66666666666667
pikey_bream,38,4,1,25.0
river,508,48,44,91.66666666666666
river_garfish,16,2,0,0.0
river_perch,5,1,0,0.0
samsonfish,272,26,16,61.53846153846154
sand_whiting,147,14,9,64.28571428571429
scaly_jewfish,3,1,0,0.0
school_mackerel,60,6,1,16.666666666666664
scribbled_rabbitfish,90,8,8,100.0
sea,311,30,23,76.66666666666667
sea_mullet,185,18,10,55.55555555555556
shark_mackerel,72,8,4,50.0
silver_javelin,25,3,2,66.66666666666666
silver_jewfish,33,4,3,75.0
small_spotted_dart,85,8,6,75.0
snapper,466,44,27,61.36363636363637
snub_nosed_dart,351,34,31,91.17647058823529
snubnose_garfish,10,1,0,0.0
spanish_mackerel,377,36,22,61.111111111111114
spotted_mackerel,124,12,5,41.66666666666667
stout_whiting,7,1,0,0.0
striped_barracuda,100,9,6,66.66666666666666
swallow_tailed_dart,10,1,0,0.0
tailor,624,60,37,61.66666666666667
tarwhine,81,8,7,87.5
teraglin,71,7,1,14.285714285714285
three_by_two_garfish,10,1,0,0.0
trumpeter_winter_whiting,20,2,2,100.0
wahoo,186,18,12,66.66666666666666
wolf_herring,112,11,8,72.72727272727273
yellowfin_bream,128,12,3,25.0
yellowfin_tuna,481,46,20,43.47826086956522
yellowtail_kingfish,618,59,34,57.6271186440678
yellowtailed_flathead,6,1,0,0.0
