class,dataset size,test size,num correct,correct percentage
amberjack,323,37,23,62.16216216216216
australian bass,378,40,25,62.5
australian bonito,57,7,4,57.14285714285714
barramundi,575,50,44,88.0
barred cheek coral trout,155,14,13,92.85714285714286
barred javelin,97,11,5,45.45454545454545
barred queenfish,12,1,0,0.0
bartailed flathead,192,15,9,60.0
beach,369,41,41,100.0
bigeye trevally,60,4,0,0.0
black jewfish,138,13,3,23.076923076923077
blackbanded amberjack,40,3,3,100.0
blackspotted rockcod estuary cod,73,6,6,100.0
blue threadfin,80,8,7,87.5
boat,744,95,86,90.52631578947368
cobia,484,55,34,61.81818181818181
diamondscale mullet,72,7,4,57.14285714285714
dusky flathead,507,45,29,64.44444444444444
frypan bream,16,3,1,33.33333333333333
giant queenfish,192,26,17,65.38461538461539
giant trevally,617,60,34,56.666666666666664
golden snapper fingermark,516,48,41,85.41666666666666
golden trevally,585,58,48,82.75862068965517
goldenline whiting,9,1,0,0.0
goldspotted rockcod estuary cod,53,6,5,83.33333333333334
grass emperor sweetlip,82,11,6,54.54545454545454
great barracuda,736,83,67,80.72289156626506
grey mackerel,23,2,1,50.0
highfin amberjack,128,21,9,42.857142857142854
indoors,481,46,45,97.82608695652173
king threadfin,103,9,1,11.11111111111111
leaping bonito,54,5,1,20.0
lesser queenfish,71,9,2,22.22222222222222
longtail tuna,397,44,14,31.818181818181817
luderick,231,26,18,69.23076923076923
mackerel tuna,188,20,10,50.0
mahi mahi,535,59,50,84.7457627118644
mangrove jack,809,103,67,65.0485436893204
mulloway,372,37,10,27.027027027027028
needleskin queenfish,72,12,6,50.0
northern sand flathead,21,4,2,50.0
northern whiting,51,4,3,75.0
pearl perch,149,15,10,66.66666666666666
people,48,2,1,50.0
pikey bream,34,6,1,16.666666666666664
river,245,26,25,96.15384615384616
river garfish,16,2,0,0.0
river perch,2,0,0,0
samsonfish,259,20,6,30.0
sand whiting,81,7,4,57.14285714285714
scaly jewfish,3,1,0,0.0
school mackerel,57,6,0,0.0
scribbled rabbitfish,90,9,7,77.77777777777779
sea,91,4,4,100.0
sea mullet,185,17,13,76.47058823529412
shark mackerel,70,5,4,80.0
silver javelin,24,4,1,25.0
silver jewfish,32,4,0,0.0
small spotted dart,84,8,6,75.0
snapper,448,46,38,82.6086956521739
snub nosed dart,347,29,24,82.75862068965517
snubnose garfish,10,1,0,0.0
spanish mackerel,454,45,25,55.55555555555556
spotted mackerel,122,13,2,15.384615384615385
stout whiting,10,3,2,66.66666666666666
striped barracuda,97,11,7,63.63636363636363
swallow tailed dart,10,1,0,0.0
tailor,591,52,23,44.230769230769226
tarwhine,77,4,1,25.0
teraglin,66,6,2,33.33333333333333
three by two garfish,10,1,0,0.0
trumpeter winter whiting,20,1,0,0.0
wahoo,181,19,6,31.57894736842105
wolf herring,103,12,3,25.0
yellowfin bream,115,16,10,62.5
yellowfin tuna,475,46,33,71.73913043478261
yellowtail kingfish,603,69,22,31.88405797101449
yellowtailed flathead,5,1,0,0.0
