class,dataset size,test size,num correct,correct percentage
amberjack,329,32,19,59.375
australian_bass,790,76,44,57.89473684210527
australian_bonito,58,6,0,0.0
barramundi,654,63,44,69.84126984126983
barred_cheek_coral_trout,158,15,13,86.66666666666667
barred_javelin,114,11,3,27.27272727272727
barred_queenfish,14,2,1,50.0
bartailed_flathead,192,19,13,68.42105263157895
beach,374,36,35,97.22222222222221
bigeye_trevally,97,6,4,66.66666666666666
black_jewfish,143,14,3,21.428571428571427
blackbanded_amberjack,40,4,3,75.0
blackspotted_rockcod_estuary_cod,87,8,6,75.0
blue_threadfin,96,9,5,55.55555555555556
boat,1056,102,93,91.17647058823529
cobia,531,48,35,72.91666666666666
diamondscale_mullet,73,8,4,50.0
dusky_flathead,639,61,42,68.85245901639344
frypan_bream,16,2,0,0.0
giant_queenfish,205,20,14,70.0
giant_trevally,648,62,58,93.54838709677419
golden_snapper_fingermark,521,51,31,60.78431372549019
golden_trevally,604,58,38,65.51724137931035
goldenline_whiting,12,2,0,0.0
goldspotted_rockcod_estuary_cod,65,7,3,42.857142857142854
grass_emperor_sweetlip,86,8,5,62.5
great_barracuda,752,72,42,58.333333333333336
grey_mackerel,22,3,0,0.0
highfin_amberjack,129,12,1,8.333333333333332
indoors,483,46,46,100.0
king_threadfin,121,11,8,72.72727272727273
leaping_bonito,55,6,3,50.0
lesser_queenfish,73,8,3,37.5
longtail_tuna,409,40,27,67.5
luderick,237,22,14,63.63636363636363
mackerel_tuna,194,19,7,36.84210526315789
mahi_mahi,545,52,39,75.0
mangrove_jack,877,84,72,85.71428571428571
mulloway,407,39,23,58.97435897435898
needleskin_queenfish,75,8,6,75.0
northern_sand_flathead,21,3,0,0.0
northern_whiting,52,6,5,83.33333333333334
pearl_perch,158,15,12,80.0
people,939,90,86,95.55555555555556
pikey_bream,39,4,1,25.0
river,508,48,44,91.66666666666666
river_garfish,16,2,0,0.0
river_perch,5,1,0,0.0
samsonfish,272,26,8,30.76923076923077
sand_whiting,150,15,11,73.33333333333333
scaly_jewfish,3,1,0,0.0
school_mackerel,65,7,1,14.285714285714285
scribbled_rabbitfish,90,8,8,100.0
sea,311,30,24,80.0
sea_mullet,185,18,11,61.111111111111114
shark_mackerel,72,8,3,37.5
silver_javelin,25,3,2,66.66666666666666
silver_jewfish,33,4,2,50.0
small_spotted_dart,85,8,6,75.0
snapper,467,44,24,54.54545454545454
snub_nosed_dart,351,34,30,88.23529411764706
snubnose_garfish,10,1,0,0.0
spanish_mackerel,378,36,24,66.66666666666666
spotted_mackerel,125,12,5,41.66666666666667
stout_whiting,7,1,0,0.0
striped_barracuda,101,9,6,66.66666666666666
swallow_tailed_dart,10,1,0,0.0
tailor,626,60,24,40.0
tarwhine,81,8,7,87.5
teraglin,71,7,2,28.57142857142857
three_by_two_garfish,10,1,0,0.0
trumpeter_winter_whiting,20,2,2,100.0
wahoo,187,18,9,50.0
wolf_herring,112,11,8,72.72727272727273
yellowfin_bream,132,13,8,61.53846153846154
yellowfin_tuna,481,46,25,54.347826086956516
yellowtail_kingfish,618,59,37,62.71186440677966
yellowtailed_flathead,7,1,0,0.0
