class,class size,val size,val correct,val percentage
amberjack,331,32,15,46.875
australian_bass,785,76,53,69.73684210526315
australian_bonito,57,6,0,0.0
barramundi,651,63,36,57.14285714285714
barred_cheek_coral_trout,159,15,13,86.66666666666667
barred_javelin,113,11,4,36.36363636363637
barred_queenfish,20,2,2,100.0
bartailed_flathead,192,19,8,42.10526315789473
beach,376,36,35,97.22222222222221
bigeye_trevally,146,10,8,80.0
black_jewfish,142,14,6,42.857142857142854
blackbanded_amberjack,40,4,4,100.0
blackspotted_rockcod_estuary_cod,87,8,5,62.5
blue_threadfin,96,9,3,33.33333333333333
boat,1047,102,90,88.23529411764706
cobia,533,48,31,64.58333333333334
diamondscale_mullet,72,8,3,37.5
dusky_flathead,636,61,46,75.40983606557377
frypan_bream,16,2,0,0.0
giant_queenfish,205,20,5,25.0
giant_trevally,645,62,52,83.87096774193549
golden_snapper_fingermark,522,51,29,56.86274509803921
golden_trevally,601,58,50,86.20689655172413
goldenline_whiting,12,2,0,0.0
goldspotted_rockcod_estuary_cod,64,7,3,42.857142857142854
grass_emperor_sweetlip,86,8,4,50.0
great_barracuda,749,72,54,75.0
grey_mackerel,22,3,0,0.0
highfin_amberjack,129,12,2,16.666666666666664
indoors,485,46,46,100.0
king_threadfin,121,11,7,63.63636363636363
leaping_bonito,54,6,3,50.0
lesser_queenfish,72,8,2,25.0
longtail_tuna,411,40,9,22.5
luderick,236,22,16,72.72727272727273
mackerel_tuna,194,19,13,68.42105263157895
mahi_mahi,547,52,44,84.61538461538461
mangrove_jack,874,84,58,69.04761904761905
mulloway,409,39,27,69.23076923076923
needleskin_queenfish,74,8,7,87.5
northern_sand_flathead,21,3,0,0.0
northern_whiting,51,6,4,66.66666666666666
pearl_perch,159,15,11,73.33333333333333
people,936,90,85,94.44444444444444
pikey_bream,60,6,3,50.0
river,510,48,45,93.75
river_garfish,17,2,0,0.0
river_perch,5,1,1,100.0
samsonfish,274,26,14,53.84615384615385
sand_whiting,151,15,13,86.66666666666667
scaly_jewfish,6,1,0,0.0
school_mackerel,78,7,5,71.42857142857143
scribbled_rabbitfish,90,8,8,100.0
sea,313,30,25,83.33333333333334
sea_mullet,185,18,11,61.111111111111114
shark_mackerel,71,8,2,25.0
silver_javelin,25,3,1,33.33333333333333
silver_jewfish,33,4,2,50.0
small_spotted_dart,85,8,6,75.0
snapper,469,44,28,63.63636363636363
snub_nosed_dart,353,34,29,85.29411764705883
snubnose_garfish,13,2,0,0.0
spanish_mackerel,380,36,29,80.55555555555556
spotted_mackerel,172,17,5,29.411764705882355
stout_whiting,7,1,0,0.0
striped_barracuda,100,9,5,55.55555555555556
swallow_tailed_dart,23,3,1,33.33333333333333
tailor,622,60,30,50.0
tarwhine,81,8,7,87.5
teraglin,70,7,2,28.57142857142857
three_by_two_garfish,11,2,0,0.0
trumpeter_winter_whiting,27,3,0,0.0
wahoo,187,18,7,38.88888888888889
wolf_herring,111,11,9,81.81818181818183
yellowfin_bream,132,13,8,61.53846153846154
yellowfin_tuna,483,46,26,56.52173913043478
yellowtail_kingfish,615,59,37,62.71186440677966
yellowtailed_flathead,12,2,0,0.0
,,,,53.88365611694366

training accuracy,85.00620126724243
validation accuracy,68.41530203819275
