class,dataset size,test size,num correct,correct percentage
amberjack,323,37,19,51.35135135135135
australian bass,378,40,23,57.49999999999999
australian bonito,57,7,4,57.14285714285714
barramundi,575,50,32,64.0
barred cheek coral trout,155,14,13,92.85714285714286
barred javelin,97,11,6,54.54545454545454
barred queenfish,12,1,0,0.0
bartailed flathead,192,15,7,46.666666666666664
beach,369,41,41,100.0
bigeye trevally,60,4,1,25.0
black jewfish,138,13,2,15.384615384615385
blackbanded amberjack,40,3,3,100.0
blackspotted rockcod estuary cod,73,6,5,83.33333333333334
blue threadfin,80,8,5,62.5
boat,744,95,91,95.78947368421052
cobia,484,55,36,65.45454545454545
diamondscale mullet,72,7,4,57.14285714285714
dusky flathead,507,45,34,75.55555555555556
frypan bream,16,3,1,33.33333333333333
giant queenfish,192,26,13,50.0
giant trevally,617,60,45,75.0
golden snapper fingermark,516,48,40,83.33333333333334
golden trevally,585,58,47,81.03448275862068
goldenline whiting,9,1,0,0.0
goldspotted rockcod estuary cod,53,6,4,66.66666666666666
grass emperor sweetlip,82,11,6,54.54545454545454
great barracuda,736,83,63,75.90361445783132
grey mackerel,23,2,1,50.0
highfin amberjack,128,21,13,61.904761904761905
indoors,481,46,45,97.82608695652173
king threadfin,103,9,3,33.33333333333333
leaping bonito,54,5,2,40.0
lesser queenfish,71,9,3,33.33333333333333
longtail tuna,397,44,15,34.090909090909086
luderick,231,26,18,69.23076923076923
mackerel tuna,188,20,11,55.00000000000001
mahi mahi,535,59,48,81.35593220338984
mangrove jack,809,103,70,67.96116504854369
mulloway,372,37,22,59.45945945945946
needleskin queenfish,72,12,8,66.66666666666666
northern sand flathead,21,4,2,50.0
northern whiting,51,4,3,75.0
pearl perch,149,15,6,40.0
people,48,2,1,50.0
pikey bream,34,6,1,16.666666666666664
river,245,26,23,88.46153846153845
river garfish,16,2,0,0.0
river perch,2,0,0,0
samsonfish,259,20,11,55.00000000000001
sand whiting,81,7,4,57.14285714285714
scaly jewfish,3,1,0,0.0
school mackerel,57,6,0,0.0
scribbled rabbitfish,90,9,7,77.77777777777779
sea,91,4,4,100.0
sea mullet,185,17,10,58.82352941176471
shark mackerel,70,5,3,60.0
silver javelin,24,4,0,0.0
silver jewfish,32,4,1,25.0
small spotted dart,84,8,7,87.5
snapper,448,46,27,58.69565217391305
snub nosed dart,347,29,18,62.06896551724138
snubnose garfish,10,1,0,0.0
spanish mackerel,454,45,8,17.77777777777778
spotted mackerel,122,13,6,46.15384615384615
stout whiting,10,3,2,66.66666666666666
striped barracuda,97,11,9,81.81818181818183
swallow tailed dart,10,1,0,0.0
tailor,591,52,18,34.61538461538461
tarwhine,77,4,2,50.0
teraglin,66,6,2,33.33333333333333
three by two garfish,10,1,0,0.0
trumpeter winter whiting,20,1,0,0.0
wahoo,181,19,13,68.42105263157895
wolf herring,103,12,3,25.0
yellowfin bream,115,16,12,75.0
yellowfin tuna,475,46,39,84.78260869565217
yellowtail kingfish,603,69,22,31.88405797101449
yellowtailed flathead,5,1,0,0.0
