class,dataset size,test size,num correct,correct percentage,correct percentage,correct percentage,,Average percentage,,old percentage,,old dataset size,datasize increase percentage,,How many more images to get 90% test acc assuming linear returns
tailor,591,52,28,53.8461538462,59.6153846154,50,,54.4871794872,,0,,10,,,
tarwhine,77,4,2,50,50,50,,50,,34.6153846154,,589,,,
teraglin,66,6,2,33.3333333333,33.3333333333,33.3333333333,,33.3333333333,,50,,77,,,
three by two garfish,10,1,0,0,0,0,,0,,33.3333333333,,66,,,
trumpeter whiting,20,3,0,0,0,0,,0,,0,,10,,,
wahoo,181,19,9,47.3684210526,47.3684210526,78.9473684211,,57.8947368421,,0,,20,,,
wolf herring,103,12,3,25,25,25,,25,,73.6842105263,,181,,,
yellowfin bream,115,16,9,56.25,56.25,62.5,,58.3333333333,,33.3333333333,,103,,,
yellowfin tuna,475,46,29,63.0434782609,56.5217391304,65.2173913043,,61.5942028986,,57.1428571429,,112,,,
yellowtail kingfish,603,69,45,65.2173913043,53.6231884058,69.5652173913,,62.8019323671,,65.2173913043,,473,,,
yellowtailed flathead,5,1,0,0,0,0,,0,,66.6666666667,,600,,,
,,,,,,,,,,0,,5,,,
,,,,,,,Average class,48.7571536942,,,,,,,
