class,dataset size,test size,num correct,correct percentage
amberjack,323,37,8,21.62162162162162
australian bass,378,40,22,55.00000000000001
australian bonito,57,7,4,57.14285714285714
barramundi,575,50,32,64.0
barred cheek coral trout,155,14,13,92.85714285714286
barred javelin,97,11,4,36.36363636363637
barred queenfish,12,1,0,0.0
bartailed flathead,192,15,3,20.0
beach,369,41,41,100.0
bigeye trevally,60,4,0,0.0
black jewfish,138,13,8,61.53846153846154
blackbanded amberjack,40,3,3,100.0
blackspotted rockcod estuary cod,73,6,6,100.0
blue threadfin,80,8,5,62.5
boat,744,95,88,92.63157894736842
cobia,484,55,42,76.36363636363637
diamondscale mullet,72,7,4,57.14285714285714
dusky flathead,507,45,32,71.11111111111111
frypan bream,16,3,1,33.33333333333333
giant queenfish,192,26,17,65.38461538461539
giant trevally,617,60,48,80.0
golden snapper fingermark,516,48,36,75.0
golden trevally,585,58,41,70.6896551724138
goldenline whiting,9,1,0,0.0
goldspotted rockcod estuary cod,53,6,5,83.33333333333334
grass emperor sweetlip,82,11,6,54.54545454545454
great barracuda,736,83,61,73.49397590361446
grey mackerel,23,2,1,50.0
highfin amberjack,128,21,14,66.66666666666666
indoors,481,46,45,97.82608695652173
king threadfin,103,9,2,22.22222222222222
leaping bonito,54,5,3,60.0
lesser queenfish,71,9,3,33.33333333333333
longtail tuna,397,44,10,22.727272727272727
luderick,231,26,19,73.07692307692307
mackerel tuna,188,20,7,35.0
mahi mahi,535,59,50,84.7457627118644
mangrove jack,809,103,55,53.398058252427184
mulloway,372,37,14,37.83783783783784
needleskin queenfish,72,12,6,50.0
northern sand flathead,21,4,1,25.0
northern whiting,51,4,3,75.0
pearl perch,149,15,9,60.0
people,48,2,1,50.0
pikey bream,34,6,1,16.666666666666664
river,245,26,22,84.61538461538461
river garfish,16,2,0,0.0
river perch,2,0,0,0
samsonfish,259,20,10,50.0
sand whiting,81,7,4,57.14285714285714
scaly jewfish,3,1,0,0.0
school mackerel,57,6,1,16.666666666666664
scribbled rabbitfish,90,9,7,77.77777777777779
sea,91,4,4,100.0
sea mullet,185,17,11,64.70588235294117
shark mackerel,70,5,3,60.0
silver javelin,24,4,1,25.0
silver jewfish,32,4,1,25.0
small spotted dart,84,8,7,87.5
snapper,448,46,29,63.04347826086957
snub nosed dart,347,29,18,62.06896551724138
snubnose garfish,10,1,0,0.0
spanish mackerel,454,45,21,46.666666666666664
spotted mackerel,122,13,5,38.46153846153847
stout whiting,10,3,2,66.66666666666666
striped barracuda,97,11,9,81.81818181818183
swallow tailed dart,10,1,0,0.0
tailor,591,52,31,59.61538461538461
tarwhine,77,4,2,50.0
teraglin,66,6,2,33.33333333333333
three by two garfish,10,1,0,0.0
trumpeter winter whiting,20,1,0,0.0
wahoo,181,19,7,36.84210526315789
wolf herring,103,12,2,16.666666666666664
yellowfin bream,115,16,10,62.5
yellowfin tuna,475,46,33,71.73913043478261
yellowtail kingfish,603,69,42,60.86956521739131
yellowtailed flathead,5,1,0,0.0
