class,class size,val size,val correct,val percentage
amberjack,337,32,16,50.0
australian_bass,1016,96,80,83.33333333333334
australian_bonito,58,6,1,16.666666666666664
barramundi,792,77,65,84.4155844155844
barred_cheek_coral_trout,203,20,13,65.0
barred_javelin,140,14,7,50.0
barred_queenfish,20,2,1,50.0
bartailed_flathead,211,21,13,61.904761904761905
beach,650,306,302,98.69281045751634
bigeye_trevally,147,11,7,63.63636363636363
black_jewfish,144,14,2,14.285714285714285
blackbanded_amberjack,41,5,4,80.0
blackspotted_rockcod_estuary_cod,87,8,6,75.0
blue_threadfin,83,8,3,37.5
boat,1812,859,837,97.43888242142026
cobia,656,60,32,53.333333333333336
diamondscale_mullet,136,13,8,61.53846153846154
dusky_flathead,680,65,40,61.53846153846154
frypan_bream,35,4,1,25.0
giant_queenfish,207,20,14,70.0
giant_trevally,652,63,46,73.01587301587301
golden_snapper_fingermark,686,66,44,66.66666666666666
golden_trevally,591,57,48,84.21052631578947
goldenline_whiting,14,2,1,50.0
goldspotted_rockcod_estuary_cod,56,6,4,66.66666666666666
grass_emperor_sweetlip,132,13,8,61.53846153846154
great_barracuda,885,85,67,78.82352941176471
grey_mackerel,21,3,0,0.0
highfin_amberjack,129,12,2,16.666666666666664
indoors,487,46,46,100.0
king_threadfin,148,14,8,57.14285714285714
leaping_bonito,54,6,3,50.0
lesser_queenfish,94,9,5,55.55555555555556
longtail_tuna,471,45,19,42.22222222222222
luderick,330,32,23,71.875
mackerel_tuna,388,37,22,59.45945945945946
mahi_mahi,769,74,57,77.02702702702703
mangrove_jack,989,93,42,45.16129032258064
mulloway,534,51,26,50.98039215686274
needleskin_queenfish,75,7,6,85.71428571428571
northern_sand_flathead,37,4,1,25.0
northern_whiting,51,6,4,66.66666666666666
pearl_perch,242,23,19,82.6086956521739
people,957,91,83,91.20879120879121
pikey_bream,59,6,4,66.66666666666666
river,517,50,48,96.0
river_garfish,17,2,0,0.0
river_perch,5,1,0,0.0
samsonfish,452,43,27,62.7906976744186
sand_whiting,152,15,11,73.33333333333333
scaly_jewfish,6,1,0,0.0
school_mackerel,75,7,0,0.0
scribbled_rabbitfish,126,12,11,91.66666666666666
sea,538,253,250,98.81422924901186
sea_mullet,373,36,26,72.22222222222221
shark_mackerel,71,8,2,25.0
silver_javelin,45,5,3,60.0
silver_jewfish,42,5,5,100.0
small_spotted_dart,85,8,5,62.5
snapper,473,45,32,71.11111111111111
snub_nosed_dart,477,46,42,91.30434782608695
snubnose_garfish,14,2,0,0.0
spanish_mackerel,442,43,28,65.11627906976744
spotted_mackerel,169,16,6,37.5
stout_whiting,7,1,0,0.0
striped_barracuda,116,11,7,63.63636363636363
swallow_tailed_dart,23,3,1,33.33333333333333
tailor,921,89,21,23.595505617977526
tarwhine,81,8,6,75.0
teraglin,94,9,2,22.22222222222222
three_by_two_garfish,11,2,0,0.0
trumpeter_winter_whiting,27,3,1,33.33333333333333
wahoo,186,18,10,55.55555555555556
wolf_herring,151,15,12,80.0
yellowfin_bream,122,12,6,50.0
yellowfin_tuna,484,46,35,76.08695652173914
yellowtail_kingfish,674,65,35,53.84615384615385
yellowtailed_flathead,13,2,0,0.0
,,,,55.10423057471735

training accuracy,82.83038139343262
validation accuracy,79.19383645057678
