class,dataset size,test size,num correct,correct percentage
amberjack,323,37,19,51.35135135135135
australian bass,378,40,22,55.00000000000001
australian bonito,57,7,4,57.14285714285714
barramundi,575,50,37,74.0
barred cheek coral trout,155,14,13,92.85714285714286
barred javelin,97,11,6,54.54545454545454
barred queenfish,12,1,0,0.0
bartailed flathead,192,15,10,66.66666666666666
beach,369,41,39,95.1219512195122
bigeye trevally,60,4,1,25.0
black jewfish,138,13,7,53.84615384615385
blackbanded amberjack,40,3,3,100.0
blackspotted rockcod estuary cod,73,6,6,100.0
blue threadfin,80,8,5,62.5
boat,744,95,89,93.6842105263158
cobia,484,55,44,80.0
diamondscale mullet,72,7,4,57.14285714285714
dusky flathead,507,45,20,44.44444444444444
frypan bream,16,3,1,33.33333333333333
giant queenfish,192,26,16,61.53846153846154
giant trevally,617,60,42,70.0
golden snapper fingermark,516,48,36,75.0
golden trevally,585,58,48,82.75862068965517
goldenline whiting,9,1,0,0.0
goldspotted rockcod estuary cod,53,6,5,83.33333333333334
grass emperor sweetlip,82,11,6,54.54545454545454
great barracuda,736,83,65,78.3132530120482
grey mackerel,23,2,1,50.0
highfin amberjack,128,21,11,52.38095238095239
indoors,481,46,45,97.82608695652173
king threadfin,103,9,3,33.33333333333333
leaping bonito,54,5,3,60.0
lesser queenfish,71,9,3,33.33333333333333
longtail tuna,397,44,15,34.090909090909086
luderick,231,26,21,80.76923076923077
mackerel tuna,188,20,7,35.0
mahi mahi,535,59,46,77.96610169491525
mangrove jack,809,103,65,63.10679611650486
mulloway,372,37,13,35.13513513513514
needleskin queenfish,72,12,6,50.0
northern sand flathead,21,4,1,25.0
northern whiting,51,4,3,75.0
pearl perch,149,15,8,53.333333333333336
people,48,2,1,50.0
pikey bream,34,6,1,16.666666666666664
river,245,26,21,80.76923076923077
river garfish,16,2,0,0.0
river perch,2,0,0,0
samsonfish,259,20,9,45.0
sand whiting,81,7,4,57.14285714285714
scaly jewfish,3,1,0,0.0
school mackerel,57,6,0,0.0
scribbled rabbitfish,90,9,7,77.77777777777779
sea,91,4,4,100.0
sea mullet,185,17,14,82.35294117647058
shark mackerel,70,5,3,60.0
silver javelin,24,4,1,25.0
silver jewfish,32,4,1,25.0
small spotted dart,84,8,6,75.0
snapper,448,46,33,71.73913043478261
snub nosed dart,347,29,18,62.06896551724138
snubnose garfish,10,1,0,0.0
spanish mackerel,454,45,32,71.11111111111111
spotted mackerel,122,13,2,15.384615384615385
stout whiting,10,3,2,66.66666666666666
striped barracuda,97,11,7,63.63636363636363
swallow tailed dart,10,1,0,0.0
tailor,591,52,28,53.84615384615385
tarwhine,77,4,2,50.0
teraglin,66,6,3,50.0
three by two garfish,10,1,0,0.0
trumpeter winter whiting,20,1,0,0.0
wahoo,181,19,6,31.57894736842105
wolf herring,103,12,3,25.0
yellowfin bream,115,16,9,56.25
yellowfin tuna,475,46,27,58.69565217391305
yellowtail kingfish,603,69,26,37.68115942028986
yellowtailed flathead,5,1,0,0.0
