class,dataset size,test size,num correct,correct percentage
amberjack,323,37,17,45.94594594594595
australian bass,378,40,28,70.0
australian bonito,57,7,4,57.14285714285714
barramundi,575,50,35,70.0
barred cheek coral trout,155,14,13,92.85714285714286
barred javelin,97,11,7,63.63636363636363
barred queenfish,12,1,0,0.0
bartailed flathead,192,15,8,53.333333333333336
beach,369,41,41,100.0
bigeye trevally,60,4,0,0.0
black jewfish,138,13,7,53.84615384615385
blackbanded amberjack,40,3,3,100.0
blackspotted rockcod estuary cod,73,6,4,66.66666666666666
blue threadfin,80,8,4,50.0
boat,744,95,89,93.6842105263158
cobia,484,55,47,85.45454545454545
diamondscale mullet,72,7,4,57.14285714285714
dusky flathead,507,45,30,66.66666666666666
frypan bream,16,3,1,33.33333333333333
giant queenfish,192,26,16,61.53846153846154
giant trevally,617,60,35,58.333333333333336
golden snapper fingermark,516,48,41,85.41666666666666
golden trevally,585,58,47,81.03448275862068
goldenline whiting,9,1,0,0.0
goldspotted rockcod estuary cod,53,6,5,83.33333333333334
grass emperor sweetlip,82,11,2,18.181818181818183
great barracuda,736,83,68,81.92771084337349
grey mackerel,23,2,1,50.0
highfin amberjack,128,21,12,57.14285714285714
indoors,481,46,45,97.82608695652173
king threadfin,103,9,4,44.44444444444444
leaping bonito,54,5,2,40.0
lesser queenfish,71,9,2,22.22222222222222
longtail tuna,397,44,5,11.363636363636363
luderick,231,26,19,73.07692307692307
mackerel tuna,188,20,9,45.0
mahi mahi,535,59,51,86.4406779661017
mangrove jack,809,103,66,64.07766990291263
mulloway,372,37,11,29.72972972972973
needleskin queenfish,72,12,6,50.0
northern sand flathead,21,4,2,50.0
northern whiting,51,4,3,75.0
pearl perch,149,15,9,60.0
people,48,2,1,50.0
pikey bream,34,6,2,33.33333333333333
river,245,26,24,92.3076923076923
river garfish,16,2,0,0.0
river perch,2,0,0,0
samsonfish,259,20,13,65.0
sand whiting,81,7,4,57.14285714285714
scaly jewfish,3,1,0,0.0
school mackerel,57,6,0,0.0
scribbled rabbitfish,90,9,7,77.77777777777779
sea,91,4,4,100.0
sea mullet,185,17,12,70.58823529411765
shark mackerel,70,5,3,60.0
silver javelin,24,4,1,25.0
silver jewfish,32,4,0,0.0
small spotted dart,84,8,6,75.0
snapper,448,46,37,80.43478260869566
snub nosed dart,347,29,21,72.41379310344827
snubnose garfish,10,1,0,0.0
spanish mackerel,454,45,21,46.666666666666664
spotted mackerel,122,13,2,15.384615384615385
stout whiting,10,3,2,66.66666666666666
striped barracuda,97,11,8,72.72727272727273
swallow tailed dart,10,1,0,0.0
tailor,591,52,29,55.769230769230774
tarwhine,77,4,2,50.0
teraglin,66,6,1,16.666666666666664
three by two garfish,10,1,0,0.0
trumpeter winter whiting,20,1,0,0.0
wahoo,181,19,10,52.63157894736842
wolf herring,103,12,4,33.33333333333333
yellowfin bream,115,16,10,62.5
yellowfin tuna,475,46,35,76.08695652173914
yellowtail kingfish,603,69,32,46.3768115942029
yellowtailed flathead,5,1,0,0.0
