class,class size,val size,val correct,val percentage
amberjack,331,32,12,37.5
australian_bass,787,76,44,57.89473684210527
australian_bonito,57,6,1,16.666666666666664
barramundi,651,63,47,74.60317460317461
barred_cheek_coral_trout,159,15,13,86.66666666666667
barred_javelin,113,11,6,54.54545454545454
barred_queenfish,14,2,1,50.0
bartailed_flathead,192,19,10,52.63157894736842
beach,376,36,35,97.22222222222221
bigeye_trevally,96,6,5,83.33333333333334
black_jewfish,142,14,3,21.428571428571427
blackbanded_amberjack,40,4,3,75.0
blackspotted_rockcod_estuary_cod,87,8,6,75.0
blue_threadfin,96,9,4,44.44444444444444
boat,1047,102,90,88.23529411764706
cobia,533,48,27,56.25
diamondscale_mullet,72,8,5,62.5
dusky_flathead,636,61,40,65.57377049180327
frypan_bream,16,2,0,0.0
giant_queenfish,205,20,11,55.00000000000001
giant_trevally,645,62,53,85.48387096774194
golden_snapper_fingermark,522,51,34,66.66666666666666
golden_trevally,601,58,49,84.48275862068965
goldenline_whiting,12,2,0,0.0
goldspotted_rockcod_estuary_cod,64,7,4,57.14285714285714
grass_emperor_sweetlip,86,8,5,62.5
great_barracuda,749,72,54,75.0
grey_mackerel,22,3,0,0.0
highfin_amberjack,129,12,2,16.666666666666664
indoors,485,46,46,100.0
king_threadfin,121,11,7,63.63636363636363
leaping_bonito,54,6,3,50.0
lesser_queenfish,72,8,5,62.5
longtail_tuna,411,40,20,50.0
luderick,236,22,17,77.27272727272727
mackerel_tuna,194,19,7,36.84210526315789
mahi_mahi,547,52,41,78.84615384615384
mangrove_jack,874,84,61,72.61904761904762
mulloway,409,39,17,43.58974358974359
needleskin_queenfish,74,8,7,87.5
northern_sand_flathead,21,3,0,0.0
northern_whiting,51,6,5,83.33333333333334
pearl_perch,159,15,12,80.0
people,936,90,87,96.66666666666667
pikey_bream,38,4,2,50.0
river,510,48,44,91.66666666666666
river_garfish,16,2,0,0.0
river_perch,5,1,1,100.0
samsonfish,274,26,24,92.3076923076923
sand_whiting,151,15,14,93.33333333333333
scaly_jewfish,3,1,0,0.0
school_mackerel,64,7,1,14.285714285714285
scribbled_rabbitfish,90,8,8,100.0
sea,313,30,23,76.66666666666667
sea_mullet,185,18,10,55.55555555555556
shark_mackerel,71,8,2,25.0
silver_javelin,25,3,2,66.66666666666666
silver_jewfish,33,4,2,50.0
small_spotted_dart,85,8,6,75.0
snapper,469,44,24,54.54545454545454
snub_nosed_dart,353,34,27,79.41176470588235
snubnose_garfish,10,1,0,0.0
spanish_mackerel,380,36,23,63.888888888888886
spotted_mackerel,125,12,4,33.33333333333333
stout_whiting,7,1,0,0.0
striped_barracuda,100,9,6,66.66666666666666
swallow_tailed_dart,10,1,0,0.0
tailor,623,60,23,38.333333333333336
tarwhine,81,8,7,87.5
teraglin,70,7,0,0.0
three_by_two_garfish,10,1,0,0.0
trumpeter_winter_whiting,20,2,1,50.0
wahoo,187,18,10,55.55555555555556
wolf_herring,111,11,8,72.72727272727273
yellowfin_bream,132,13,7,53.84615384615385
yellowfin_tuna,483,46,26,56.52173913043478
yellowtail_kingfish,615,59,38,64.40677966101694
yellowtailed_flathead,7,1,0,0.0
,,,,54.51877068560978

training accuracy,84.88602042198181
validation accuracy,68.50523948669434
