class,class size,val size,val correct,val percentage
001.Black_footed_Albatross,180,60,60,100.0
002.Laysan_Albatross,180,60,58,96.66666666666667
003.Sooty_Albatross,174,58,56,96.55172413793103
004.Groove_billed_Ani,180,60,60,100.0
005.Crested_Auklet,132,44,44,100.0
006.Least_Auklet,123,41,41,100.0
007.Parakeet_Auklet,159,53,53,100.0
008.Rhinoceros_Auklet,144,48,48,100.0
009.Brewer_Blackbird,177,59,51,86.4406779661017
010.Red_winged_Blackbird,180,60,59,98.33333333333333
011.Rusty_Blackbird,180,60,54,90.0
012.Yellow_headed_Blackbird,168,56,55,98.21428571428571
013.Bobolink,180,60,58,96.66666666666667
014.Indigo_Bunting,180,60,59,98.33333333333333
015.Lazuli_Bunting,174,58,54,93.10344827586206
016.Painted_Bunting,174,58,56,96.55172413793103
017.Cardinal,171,57,57,100.0
018.Spotted_Catbird,135,45,45,100.0
019.Gray_Catbird,177,59,58,98.30508474576271
020.Yellow_breasted_Chat,177,59,57,96.61016949152543
021.Eastern_Towhee,180,60,57,95.0
022.Chuck_will_Widow,168,56,56,100.0
023.Brandt_Cormorant,177,59,59,100.0
024.Red_faced_Cormorant,156,52,52,100.0
025.Pelagic_Cormorant,180,60,60,100.0
026.Bronzed_Cowbird,180,60,59,98.33333333333333
027.Shiny_Cowbird,180,60,58,96.66666666666667
028.Brown_Creeper,177,59,57,96.61016949152543
029.American_Crow,180,60,59,98.33333333333333
030.Fish_Crow,180,60,55,91.66666666666666
031.Black_billed_Cuckoo,180,60,59,98.33333333333333
032.Mangrove_Cuckoo,159,53,53,100.0
033.Yellow_billed_Cuckoo,177,59,58,98.30508474576271
034.Gray_crowned_Rosy_Finch,177,59,59,100.0
035.Purple_Finch,180,60,59,98.33333333333333
036.Northern_Flicker,180,60,60,100.0
037.Acadian_Flycatcher,177,59,52,88.13559322033898
038.Great_Crested_Flycatcher,180,60,52,86.66666666666667
039.Least_Flycatcher,177,59,43,72.88135593220339
040.Olive_sided_Flycatcher,180,60,54,90.0
041.Scissor_tailed_Flycatcher,180,60,59,98.33333333333333
042.Vermilion_Flycatcher,180,60,59,98.33333333333333
043.Yellow_bellied_Flycatcher,177,59,44,74.57627118644068
044.Frigatebird,180,60,60,100.0
045.Northern_Fulmar,180,60,59,98.33333333333333
046.Gadwall,180,60,60,100.0
047.American_Goldfinch,180,60,58,96.66666666666667
048.European_Goldfinch,180,60,60,100.0
049.Boat_tailed_Grackle,180,60,57,95.0
050.Eared_Grebe,180,60,58,96.66666666666667
051.Horned_Grebe,180,60,58,96.66666666666667
052.Pied_billed_Grebe,180,60,60,100.0
053.Western_Grebe,180,60,60,100.0
054.Blue_Grosbeak,180,60,55,91.66666666666666
055.Evening_Grosbeak,180,60,60,100.0
056.Pine_Grosbeak,180,60,60,100.0
057.Rose_breasted_Grosbeak,180,60,60,100.0
058.Pigeon_Guillemot,174,58,58,100.0
059.California_Gull,180,60,51,85.0
060.Glaucous_winged_Gull,177,59,53,89.83050847457628
061.Heermann_Gull,180,60,60,100.0
062.Herring_Gull,180,60,52,86.66666666666667
063.Ivory_Gull,180,60,60,100.0
064.Ring_billed_Gull,180,60,54,90.0
065.Slaty_backed_Gull,150,50,49,98.0
066.Western_Gull,180,60,55,91.66666666666666
067.Anna_Hummingbird,180,60,59,98.33333333333333
068.Ruby_throated_Hummingbird,180,60,59,98.33333333333333
069.Rufous_Hummingbird,180,60,59,98.33333333333333
070.Green_Violetear,180,60,60,100.0
071.Long_tailed_Jaeger,180,60,58,96.66666666666667
072.Pomarine_Jaeger,180,60,60,100.0
073.Blue_Jay,180,60,59,98.33333333333333
074.Florida_Jay,180,60,59,98.33333333333333
075.Green_Jay,171,57,57,100.0
076.Dark_eyed_Junco,180,60,59,98.33333333333333
077.Tropical_Kingbird,180,60,57,95.0
078.Gray_Kingbird,177,59,56,94.91525423728814
079.Belted_Kingfisher,180,60,58,96.66666666666667
080.Green_Kingfisher,180,60,58,96.66666666666667
081.Pied_Kingfisher,180,60,60,100.0
082.Ringed_Kingfisher,180,60,59,98.33333333333333
083.White_breasted_Kingfisher,180,60,59,98.33333333333333
084.Red_legged_Kittiwake,159,53,53,100.0
085.Horned_Lark,180,60,60,100.0
086.Pacific_Loon,180,60,59,98.33333333333333
087.Mallard,180,60,60,100.0
088.Western_Meadowlark,180,60,59,98.33333333333333
089.Hooded_Merganser,180,60,59,98.33333333333333
090.Red_breasted_Merganser,180,60,60,100.0
091.Mockingbird,180,60,54,90.0
092.Nighthawk,180,60,60,100.0
093.Clark_Nutcracker,180,60,60,100.0
094.White_breasted_Nuthatch,180,60,58,96.66666666666667
095.Baltimore_Oriole,180,60,55,91.66666666666666
096.Hooded_Oriole,180,60,58,96.66666666666667
097.Orchard_Oriole,177,59,50,84.7457627118644
098.Scott_Oriole,180,60,56,93.33333333333333
099.Ovenbird,180,60,53,88.33333333333333
100.Brown_Pelican,180,60,60,100.0
101.White_Pelican,150,50,50,100.0
102.Western_Wood_Pewee,180,60,54,90.0
103.Sayornis,180,60,51,85.0
104.American_Pipit,180,60,57,95.0
105.Whip_poor_Will,147,49,49,100.0
106.Horned_Puffin,180,60,60,100.0
107.Common_Raven,177,59,57,96.61016949152543
108.White_necked_Raven,180,60,59,98.33333333333333
109.American_Redstart,180,60,57,95.0
110.Geococcyx,180,60,60,100.0
111.Loggerhead_Shrike,180,60,58,96.66666666666667
112.Great_Grey_Shrike,180,60,60,100.0
113.Baird_Sparrow,150,50,48,96.0
114.Black_throated_Sparrow,180,60,57,95.0
