class,class size,val size,val correct,val percentage
amberjack,331,32,13,40.625
australian_bass,979,92,74,80.43478260869566
australian_bonito,57,6,1,16.666666666666664
barramundi,782,75,63,84.0
barred_cheek_coral_trout,202,19,15,78.94736842105263
barred_javelin,113,11,5,45.45454545454545
barred_queenfish,20,2,2,100.0
bartailed_flathead,208,20,10,50.0
beach,376,36,35,97.22222222222221
bigeye_trevally,146,10,8,80.0
black_jewfish,142,14,3,21.428571428571427
blackbanded_amberjack,40,4,3,75.0
blackspotted_rockcod_estuary_cod,87,8,6,75.0
blue_threadfin,96,9,5,55.55555555555556
boat,1047,102,92,90.19607843137256
cobia,643,59,44,74.57627118644068
diamondscale_mullet,126,12,9,75.0
dusky_flathead,636,61,50,81.9672131147541
frypan_bream,35,4,1,25.0
giant_queenfish,205,20,5,25.0
giant_trevally,645,62,36,58.06451612903226
golden_snapper_fingermark,623,60,47,78.33333333333333
golden_trevally,601,58,46,79.3103448275862
goldenline_whiting,17,2,1,50.0
goldspotted_rockcod_estuary_cod,64,7,3,42.857142857142854
grass_emperor_sweetlip,129,12,9,75.0
great_barracuda,880,84,66,78.57142857142857
grey_mackerel,22,3,0,0.0
highfin_amberjack,129,12,1,8.333333333333332
indoors,485,46,46,100.0
king_threadfin,147,14,10,71.42857142857143
leaping_bonito,54,6,2,33.33333333333333
lesser_queenfish,93,9,6,66.66666666666666
longtail_tuna,461,44,11,25.0
luderick,321,31,21,67.74193548387096
mackerel_tuna,386,37,23,62.16216216216216
mahi_mahi,761,74,62,83.78378378378379
mangrove_jack,981,93,71,76.34408602150538
mulloway,521,51,28,54.90196078431373
needleskin_queenfish,74,8,6,75.0
northern_sand_flathead,35,4,1,25.0
northern_whiting,51,6,5,83.33333333333334
pearl_perch,233,22,17,77.27272727272727
people,936,90,85,94.44444444444444
pikey_bream,60,6,4,66.66666666666666
river,510,48,44,91.66666666666666
river_garfish,17,2,0,0.0
river_perch,5,1,0,0.0
samsonfish,447,42,37,88.09523809523809
sand_whiting,151,15,13,86.66666666666667
scaly_jewfish,6,1,0,0.0
school_mackerel,78,7,5,71.42857142857143
scribbled_rabbitfish,126,10,8,80.0
sea,313,30,25,83.33333333333334
sea_mullet,322,31,13,41.935483870967744
shark_mackerel,71,8,3,37.5
silver_javelin,46,5,3,60.0
silver_jewfish,40,4,2,50.0
small_spotted_dart,85,8,6,75.0
snapper,469,44,26,59.09090909090909
snub_nosed_dart,433,42,28,66.66666666666666
snubnose_garfish,13,2,0,0.0
spanish_mackerel,460,43,22,51.162790697674424
spotted_mackerel,172,17,6,35.294117647058826
stout_whiting,7,1,0,0.0
striped_barracuda,100,9,6,66.66666666666666
swallow_tailed_dart,23,3,1,33.33333333333333
tailor,915,88,45,51.13636363636363
tarwhine,81,8,7,87.5
teraglin,94,9,2,22.22222222222222
three_by_two_garfish,11,2,0,0.0
trumpeter_winter_whiting,27,3,1,33.33333333333333
wahoo,187,18,7,38.88888888888889
wolf_herring,148,14,8,57.14285714285714
yellowfin_bream,132,13,9,69.23076923076923
yellowfin_tuna,483,46,31,67.3913043478261
yellowtail_kingfish,666,64,34,53.125
yellowtailed_flathead,12,2,0,0.0
,,,,55.94147728832213

training accuracy,84.04869437217712
validation accuracy,69.4752037525177
