class,class size,val size,val n_correct,val accuracy
amberjack,271,32,22,68.750
australian_bass,825,96,91,94.792
australian_bonito,47,6,4,66.667
barramundi,641,77,73,94.805
barred_cheek_coral_trout,163,20,20,100.000
barred_javelin,115,14,10,71.429
barred_queenfish,16,2,2,100.000
bartailed_flathead,171,21,15,71.429
beach,306,306,306,100.000
bigeye_trevally,126,11,9,81.818
black_jewfish,115,14,10,71.429
blackbanded_amberjack,32,5,4,80.000
blackspotted_rockcod_estuary_cod,71,8,7,87.500
blue_threadfin,67,8,7,87.500
boat,859,859,859,100.000
cobia,539,60,54,90.000
diamondscale_mullet,110,13,11,84.615
dusky_flathead,553,65,49,75.385
frypan_bream,27,4,2,50.000
giant_queenfish,167,20,16,80.000
giant_trevally,529,63,60,95.238
golden_snapper_fingermark,557,66,61,92.424
golden_trevally,480,57,50,87.719
goldenline_whiting,10,2,0, 0.000
goldspotted_rockcod_estuary_cod,45,6,4,66.667
grass_emperor_sweetlip,106,13,10,76.923
great_barracuda,718,85,80,94.118
grey_mackerel,15,3,1,33.333
highfin_amberjack,105,12,5,41.667
indoors,393,46,46,100.000
king_threadfin,119,14,12,85.714
leaping_bonito,43,6,5,83.333
lesser_queenfish,76,9,7,77.778
longtail_tuna,379,45,39,86.667
luderick,264,32,29,90.625
mackerel_tuna,312,37,34,91.892
mahi_mahi,624,74,72,97.297
mangrove_jack,804,93,87,93.548
mulloway,430,51,34,66.667
needleskin_queenfish,61,7,7,100.000
northern_sand_flathead,30,4,1,25.000
northern_whiting,40,6,4,66.667
pearl_perch,197,23,17,73.913
people,777,91,88,96.703
pikey_bream,48,6,3,50.000
river,416,50,49,98.000
river_garfish,13,2,0, 0.000
river_perch,3,1,0, 0.000
samsonfish,364,43,41,95.349
sand_whiting,121,15,13,86.667
scaly_jewfish,4,1,0, 0.000
school_mackerel,61,7,4,57.143
scribbled_rabbitfish,102,12,12,100.000
sea,253,253,253,100.000
sea_mullet,299,36,29,80.556
shark_mackerel,56,8,3,37.500
silver_javelin,35,5,3,60.000
silver_jewfish,33,5,5,100.000
small_spotted_dart,69,8,7,87.500
snapper,381,45,42,93.333
snub_nosed_dart,385,46,41,89.130
snubnose_garfish,10,2,0, 0.000
spanish_mackerel,355,43,38,88.372
spotted_mackerel,137,16,14,87.500
stout_whiting,5,1,0, 0.000
striped_barracuda,94,11,11,100.000
swallow_tailed_dart,17,3,1,33.333
tailor,746,89,76,85.393
tarwhine,65,8,6,75.000
teraglin,76,9,3,33.333
three_by_two_garfish,7,2,0, 0.000
trumpeter_winter_whiting,21,3,1,33.333
wahoo,150,18,13,72.222
wolf_herring,120,15,13,86.667
yellowfin_bream,98,12,8,66.667
yellowfin_tuna,390,46,42,91.304
yellowtail_kingfish,547,53,47,88.679
yellowtailed_flathead,9,0,0, 0.000

training accuracy,0.9953766350924673
validation accuracy,0.9232142857142858
