class,class size,val size,val correct,val percentage
amberjack,331,32,14,43.75
australian_bass,785,76,48,63.1578947368421
australian_bonito,57,6,0,0.0
barramundi,651,63,45,71.42857142857143
barred_cheek_coral_trout,159,15,13,86.66666666666667
barred_javelin,113,11,2,18.181818181818183
barred_queenfish,20,2,2,100.0
bartailed_flathead,192,19,7,36.84210526315789
beach,376,36,35,97.22222222222221
bigeye_trevally,146,10,8,80.0
black_jewfish,142,14,6,42.857142857142854
blackbanded_amberjack,40,4,4,100.0
blackspotted_rockcod_estuary_cod,87,8,5,62.5
blue_threadfin,96,9,4,44.44444444444444
boat,1047,102,92,90.19607843137256
cobia,533,48,36,75.0
diamondscale_mullet,72,8,5,62.5
dusky_flathead,636,61,49,80.32786885245902
frypan_bream,16,2,0,0.0
giant_queenfish,205,20,11,55.00000000000001
giant_trevally,645,62,50,80.64516129032258
golden_snapper_fingermark,522,51,33,64.70588235294117
golden_trevally,601,58,53,91.37931034482759
goldenline_whiting,12,2,0,0.0
goldspotted_rockcod_estuary_cod,64,7,4,57.14285714285714
grass_emperor_sweetlip,86,8,6,75.0
great_barracuda,749,72,56,77.77777777777779
grey_mackerel,22,3,0,0.0
highfin_amberjack,129,12,4,33.33333333333333
indoors,485,46,46,100.0
king_threadfin,121,11,5,45.45454545454545
leaping_bonito,54,6,3,50.0
lesser_queenfish,72,8,4,50.0
longtail_tuna,411,40,24,60.0
luderick,236,22,14,63.63636363636363
mackerel_tuna,194,19,11,57.89473684210527
mahi_mahi,547,52,41,78.84615384615384
mangrove_jack,874,84,62,73.80952380952381
mulloway,409,39,18,46.15384615384615
needleskin_queenfish,74,8,6,75.0
northern_sand_flathead,21,3,0,0.0
northern_whiting,51,6,5,83.33333333333334
pearl_perch,159,15,9,60.0
people,936,90,87,96.66666666666667
pikey_bream,38,4,0,0.0
river,510,48,44,91.66666666666666
river_garfish,17,2,0,0.0
river_perch,5,1,0,0.0
samsonfish,274,26,18,69.23076923076923
sand_whiting,151,15,15,100.0
scaly_jewfish,6,1,0,0.0
school_mackerel,64,7,1,14.285714285714285
scribbled_rabbitfish,90,8,8,100.0
sea,313,30,24,80.0
sea_mullet,185,18,9,50.0
shark_mackerel,71,8,3,37.5
silver_javelin,25,3,2,66.66666666666666
silver_jewfish,33,4,2,50.0
small_spotted_dart,85,8,6,75.0
snapper,469,44,29,65.9090909090909
snub_nosed_dart,353,34,27,79.41176470588235
snubnose_garfish,13,2,0,0.0
spanish_mackerel,380,36,21,58.333333333333336
spotted_mackerel,125,12,3,25.0
stout_whiting,7,1,0,0.0
striped_barracuda,100,9,5,55.55555555555556
swallow_tailed_dart,23,3,1,33.33333333333333
tailor,622,60,34,56.666666666666664
tarwhine,81,8,6,75.0
teraglin,70,7,1,14.285714285714285
three_by_two_garfish,10,1,0,0.0
trumpeter_winter_whiting,20,2,1,50.0
wahoo,187,18,9,50.0
wolf_herring,111,11,8,72.72727272727273
yellowfin_bream,132,13,10,76.92307692307693
yellowfin_tuna,483,46,25,54.347826086956516
yellowtail_kingfish,615,59,31,52.54237288135594
yellowtailed_flathead,7,1,0,0.0
,,,,53.65692473496603

training accuracy,86.82155013084412
validation accuracy,69.7802186012268
