class,class size,val size,val n_correct,val accuracy
amberjack,271,32,25,78.125
australian_bass,825,96,87,90.625
australian_bonito,47,6,4,66.667
barramundi,641,77,69,89.610
barred_cheek_coral_trout,163,20,19,95.000
barred_javelin,115,14,10,71.429
barred_queenfish,16,2,2,100.000
bartailed_flathead,171,21,17,80.952
beach,306,306,306,100.000
bigeye_trevally,126,11,8,72.727
black_jewfish,115,14,7,50.000
blackbanded_amberjack,32,5,3,60.000
blackspotted_rockcod_estuary_cod,71,8,5,62.500
blue_threadfin,67,8,6,75.000
boat,859,859,859,100.000
cobia,539,60,56,93.333
diamondscale_mullet,110,13,11,84.615
dusky_flathead,553,65,52,80.000
frypan_bream,27,4,2,50.000
giant_queenfish,167,20,17,85.000
giant_trevally,529,63,58,92.063
golden_snapper_fingermark,557,66,63,95.455
golden_trevally,480,57,53,92.982
goldenline_whiting,10,2,1,50.000
goldspotted_rockcod_estuary_cod,45,6,4,66.667
grass_emperor_sweetlip,106,13,11,84.615
great_barracuda,718,85,80,94.118
grey_mackerel,15,3,0, 0.000
highfin_amberjack,105,12,4,33.333
indoors,393,46,46,100.000
king_threadfin,119,14,13,92.857
leaping_bonito,43,6,6,100.000
lesser_queenfish,76,9,6,66.667
longtail_tuna,379,45,42,93.333
luderick,264,32,28,87.500
mackerel_tuna,312,37,35,94.595
mahi_mahi,624,74,69,93.243
mangrove_jack,804,93,86,92.473
mulloway,430,51,42,82.353
needleskin_queenfish,61,7,7,100.000
northern_sand_flathead,30,4,2,50.000
northern_whiting,40,6,4,66.667
pearl_perch,197,23,22,95.652
people,777,91,85,93.407
pikey_bream,48,6,6,100.000
river,416,50,46,92.000
river_garfish,13,2,0, 0.000
river_perch,3,1,1,100.000
samsonfish,364,43,39,90.698
sand_whiting,121,15,12,80.000
scaly_jewfish,4,1,0, 0.000
school_mackerel,61,7,3,42.857
scribbled_rabbitfish,102,12,12,100.000
sea,253,253,252,99.605
sea_mullet,299,36,32,88.889
shark_mackerel,56,8,3,37.500
silver_javelin,35,5,3,60.000
silver_jewfish,33,5,4,80.000
small_spotted_dart,69,8,8,100.000
snapper,381,45,41,91.111
snub_nosed_dart,385,46,44,95.652
snubnose_garfish,10,2,0, 0.000
spanish_mackerel,355,43,35,81.395
spotted_mackerel,137,16,14,87.500
stout_whiting,5,1,0, 0.000
striped_barracuda,94,11,10,90.909
swallow_tailed_dart,17,3,1,33.333
tailor,746,89,84,94.382
tarwhine,65,8,7,87.500
teraglin,76,9,5,55.556
three_by_two_garfish,7,2,0, 0.000
trumpeter_winter_whiting,21,3,0, 0.000
wahoo,150,18,12,66.667
wolf_herring,120,15,14,93.333
yellowfin_bream,98,12,8,66.667
yellowfin_tuna,390,46,40,86.957
yellowtail_kingfish,547,53,47,88.679
yellowtailed_flathead,9,0,0, 0.000

training accuracy,0.9937979251240415
validation accuracy,0.9270833333333334
