class,dataset size,test size,num correct,correct percentage
amberjack,329,32,11,34.375
australian_bass,790,76,43,56.57894736842105
australian_bonito,58,6,1,16.666666666666664
barramundi,654,63,41,65.07936507936508
barred_cheek_coral_trout,158,15,13,86.66666666666667
barred_javelin,114,11,4,36.36363636363637
barred_queenfish,14,2,1,50.0
bartailed_flathead,192,19,9,47.368421052631575
beach,374,36,35,97.22222222222221
bigeye_trevally,97,6,5,83.33333333333334
black_jewfish,143,14,4,28.57142857142857
blackbanded_amberjack,40,4,3,75.0
blackspotted_rockcod_estuary_cod,87,8,5,62.5
blue_threadfin,96,9,3,33.33333333333333
boat,1056,102,91,89.2156862745098
cobia,531,48,35,72.91666666666666
diamondscale_mullet,73,8,5,62.5
dusky_flathead,639,61,46,75.40983606557377
frypan_bream,16,2,0,0.0
giant_queenfish,205,20,8,40.0
giant_trevally,648,62,52,83.87096774193549
golden_snapper_fingermark,521,51,32,62.745098039215684
golden_trevally,604,58,47,81.03448275862068
goldenline_whiting,12,2,0,0.0
goldspotted_rockcod_estuary_cod,65,7,4,57.14285714285714
grass_emperor_sweetlip,86,8,7,87.5
great_barracuda,752,72,50,69.44444444444444
grey_mackerel,22,3,0,0.0
highfin_amberjack,129,12,3,25.0
indoors,483,46,46,100.0
king_threadfin,121,11,6,54.54545454545454
leaping_bonito,55,6,2,33.33333333333333
lesser_queenfish,73,8,6,75.0
longtail_tuna,409,40,20,50.0
luderick,237,22,17,77.27272727272727
mackerel_tuna,194,19,9,47.368421052631575
mahi_mahi,545,52,40,76.92307692307693
mangrove_jack,877,84,60,71.42857142857143
mulloway,407,39,27,69.23076923076923
needleskin_queenfish,75,8,6,75.0
northern_sand_flathead,21,3,0,0.0
northern_whiting,52,6,5,83.33333333333334
pearl_perch,158,15,13,86.66666666666667
people,939,90,88,97.77777777777777
pikey_bream,39,4,0,0.0
river,508,48,44,91.66666666666666
river_garfish,16,2,0,0.0
river_perch,5,1,0,0.0
samsonfish,272,26,20,76.92307692307693
sand_whiting,150,15,13,86.66666666666667
scaly_jewfish,3,1,0,0.0
school_mackerel,65,7,1,14.285714285714285
scribbled_rabbitfish,90,8,8,100.0
sea,311,30,24,80.0
sea_mullet,185,18,9,50.0
shark_mackerel,72,8,4,50.0
silver_javelin,25,3,2,66.66666666666666
silver_jewfish,33,4,2,50.0
small_spotted_dart,85,8,6,75.0
snapper,467,44,32,72.72727272727273
snub_nosed_dart,351,34,29,85.29411764705883
snubnose_garfish,10,1,0,0.0
spanish_mackerel,378,36,21,58.333333333333336
spotted_mackerel,125,12,5,41.66666666666667
stout_whiting,7,1,0,0.0
striped_barracuda,101,9,5,55.55555555555556
swallow_tailed_dart,10,1,0,0.0
tailor,626,60,41,68.33333333333333
tarwhine,81,8,7,87.5
teraglin,71,7,2,28.57142857142857
three_by_two_garfish,10,1,0,0.0
trumpeter_winter_whiting,20,2,2,100.0
wahoo,187,18,9,50.0
wolf_herring,112,11,9,81.81818181818183
yellowfin_bream,132,13,8,61.53846153846154
yellowfin_tuna,481,46,31,67.3913043478261
yellowtail_kingfish,618,59,35,59.32203389830508
yellowtailed_flathead,7,1,0,0.0
