class,class size,val size,val correct,val percentage
amberjack,331,32,14,43.75
australian_bass,787,76,52,68.42105263157895
australian_bonito,57,6,1,16.666666666666664
barramundi,651,63,35,55.55555555555556
barred_cheek_coral_trout,159,15,13,86.66666666666667
barred_javelin,113,11,3,27.27272727272727
barred_queenfish,14,2,1,50.0
bartailed_flathead,192,19,5,26.31578947368421
beach,376,36,34,94.44444444444444
bigeye_trevally,96,6,5,83.33333333333334
black_jewfish,142,14,6,42.857142857142854
blackbanded_amberjack,40,4,4,100.0
blackspotted_rockcod_estuary_cod,87,8,5,62.5
blue_threadfin,96,9,6,66.66666666666666
boat,1047,102,93,91.17647058823529
cobia,533,48,29,60.416666666666664
diamondscale_mullet,72,8,3,37.5
dusky_flathead,636,61,49,80.32786885245902
frypan_bream,16,2,0,0.0
giant_queenfish,205,20,9,45.0
giant_trevally,645,62,49,79.03225806451613
golden_snapper_fingermark,522,51,28,54.90196078431373
golden_trevally,601,58,48,82.75862068965517
goldenline_whiting,12,2,0,0.0
goldspotted_rockcod_estuary_cod,64,7,4,57.14285714285714
grass_emperor_sweetlip,86,8,5,62.5
great_barracuda,749,72,40,55.55555555555556
grey_mackerel,22,3,0,0.0
highfin_amberjack,129,12,1,8.333333333333332
indoors,485,46,46,100.0
king_threadfin,121,11,7,63.63636363636363
leaping_bonito,54,6,3,50.0
lesser_queenfish,72,8,4,50.0
longtail_tuna,411,40,22,55.00000000000001
luderick,236,22,16,72.72727272727273
mackerel_tuna,194,19,10,52.63157894736842
mahi_mahi,547,52,45,86.53846153846155
mangrove_jack,874,84,71,84.52380952380952
mulloway,409,39,21,53.84615384615385
needleskin_queenfish,74,8,6,75.0
northern_sand_flathead,21,3,0,0.0
northern_whiting,51,6,5,83.33333333333334
pearl_perch,159,15,11,73.33333333333333
people,936,90,86,95.55555555555556
pikey_bream,38,4,1,25.0
river,510,48,45,93.75
river_garfish,16,2,0,0.0
river_perch,5,1,0,0.0
samsonfish,274,26,17,65.38461538461539
sand_whiting,151,15,13,86.66666666666667
scaly_jewfish,3,1,0,0.0
school_mackerel,64,7,1,14.285714285714285
scribbled_rabbitfish,90,8,8,100.0
sea,313,30,24,80.0
sea_mullet,185,18,11,61.111111111111114
shark_mackerel,71,8,3,37.5
silver_javelin,25,3,2,66.66666666666666
silver_jewfish,33,4,3,75.0
small_spotted_dart,85,8,6,75.0
snapper,469,44,25,56.81818181818182
snub_nosed_dart,353,34,29,85.29411764705883
snubnose_garfish,10,1,0,0.0
spanish_mackerel,380,36,24,66.66666666666666
spotted_mackerel,125,12,4,33.33333333333333
stout_whiting,7,1,0,0.0
striped_barracuda,100,9,4,44.44444444444444
swallow_tailed_dart,10,1,0,0.0
tailor,623,60,36,60.0
tarwhine,81,8,7,87.5
teraglin,70,7,2,28.57142857142857
three_by_two_garfish,10,1,0,0.0
trumpeter_winter_whiting,20,2,1,50.0
wahoo,187,18,9,50.0
wolf_herring,111,11,8,72.72727272727273
yellowfin_bream,132,13,8,61.53846153846154
yellowfin_tuna,483,46,34,73.91304347826086
yellowtail_kingfish,615,59,19,32.20338983050847
yellowtailed_flathead,7,1,0,0.0
,,,,52.802520690488485

training accuracy,85.86111664772034
validation accuracy,68.33977103233337
