class,class size,val size,val correct,val percentage
amberjack,337,32,7,21.875
australian_bass,1016,96,71,73.95833333333334
australian_bonito,58,6,2,33.33333333333333
barramundi,792,77,31,40.25974025974026
barred_cheek_coral_trout,203,20,14,70.0
barred_javelin,280,28,12,42.857142857142854
barred_queenfish,20,2,2,100.0
bartailed_flathead,211,21,15,71.42857142857143
beach,380,36,35,97.22222222222221
bigeye_trevally,147,11,6,54.54545454545454
black_jewfish,144,14,5,35.714285714285715
blackbanded_amberjack,41,5,3,60.0
blackspotted_rockcod_estuary_cod,87,8,5,62.5
blue_threadfin,83,8,4,50.0
boat,1056,103,97,94.1747572815534
cobia,656,60,36,60.0
diamondscale_mullet,136,13,8,61.53846153846154
dusky_flathead,680,65,41,63.07692307692307
frypan_bream,35,4,3,75.0
giant_queenfish,207,20,7,35.0
giant_trevally,652,63,42,66.66666666666666
golden_snapper_fingermark,686,66,41,62.121212121212125
golden_trevally,591,57,41,71.9298245614035
goldenline_whiting,14,2,1,50.0
goldspotted_rockcod_estuary_cod,56,6,4,66.66666666666666
grass_emperor_sweetlip,132,13,6,46.15384615384615
great_barracuda,885,85,62,72.94117647058823
grey_mackerel,21,3,1,33.33333333333333
highfin_amberjack,129,12,6,50.0
indoors,487,46,46,100.0
king_threadfin,148,14,8,57.14285714285714
leaping_bonito,54,6,3,50.0
lesser_queenfish,94,9,6,66.66666666666666
longtail_tuna,471,45,24,53.333333333333336
luderick,330,32,25,78.125
mackerel_tuna,388,37,17,45.94594594594595
mahi_mahi,769,74,57,77.02702702702703
mangrove_jack,989,93,56,60.215053763440864
mulloway,534,51,13,25.49019607843137
needleskin_queenfish,75,7,7,100.0
northern_sand_flathead,37,4,0,0.0
northern_whiting,51,6,6,100.0
pearl_perch,242,23,13,56.52173913043478
people,957,91,87,95.6043956043956
pikey_bream,59,6,5,83.33333333333334
river,517,50,47,94.0
river_garfish,17,2,0,0.0
river_perch,5,1,0,0.0
samsonfish,452,43,30,69.76744186046511
sand_whiting,152,15,5,33.33333333333333
scaly_jewfish,6,1,0,0.0
school_mackerel,75,7,4,57.14285714285714
scribbled_rabbitfish,126,12,12,100.0
sea,315,30,28,93.33333333333333
sea_mullet,373,36,23,63.888888888888886
shark_mackerel,71,8,5,62.5
silver_javelin,45,5,3,60.0
silver_jewfish,42,5,5,100.0
small_spotted_dart,85,8,5,62.5
snapper,473,45,29,64.44444444444444
snub_nosed_dart,477,46,29,63.04347826086957
snubnose_garfish,14,2,0,0.0
spanish_mackerel,442,43,23,53.48837209302325
spotted_mackerel,169,16,11,68.75
stout_whiting,7,1,0,0.0
striped_barracuda,116,11,10,90.9090909090909
swallow_tailed_dart,23,3,1,33.33333333333333
tailor,921,89,17,19.101123595505616
tarwhine,81,8,5,62.5
teraglin,94,9,2,22.22222222222222
three_by_two_garfish,11,2,0,0.0
trumpeter_winter_whiting,27,3,3,100.0
wahoo,186,18,10,55.55555555555556
wolf_herring,151,15,10,66.66666666666666
yellowfin_bream,122,12,3,25.0
yellowfin_tuna,484,46,24,52.17391304347826
yellowtail_kingfish,674,65,34,52.307692307692314
yellowtailed_flathead,13,2,0,0.0
,,,,56.38031085360725

training accuracy,68.96244287490845
validation accuracy,63.534361124038696
