class,dataset size,test size,num correct,correct percentage
amberjack,323,37,8,21.62162162162162
australian bass,378,40,29,72.5
australian bonito,57,7,0,0.0
barramundi,575,50,27,54.0
barred cheek coral trout,155,14,13,92.85714285714286
barred javelin,97,11,7,63.63636363636363
barred queenfish,12,1,0,0.0
bartailed flathead,192,15,6,40.0
beach,369,41,39,95.1219512195122
bigeye trevally,60,4,0,0.0
black jewfish,138,13,1,7.6923076923076925
blackbanded amberjack,40,3,3,100.0
blackspotted rockcod estuary cod,73,6,6,100.0
blue threadfin,80,8,5,62.5
boat,744,95,87,91.57894736842105
cobia,484,55,41,74.54545454545455
diamondscale mullet,72,7,4,57.14285714285714
dusky flathead,507,45,31,68.88888888888889
frypan bream,16,3,1,33.33333333333333
giant queenfish,192,26,15,57.692307692307686
giant trevally,617,60,49,81.66666666666667
golden snapper fingermark,516,48,37,77.08333333333334
golden trevally,585,58,32,55.172413793103445
goldenline whiting,9,1,0,0.0
goldspotted rockcod estuary cod,53,6,5,83.33333333333334
grass emperor sweetlip,82,11,5,45.45454545454545
great barracuda,736,83,67,80.72289156626506
grey mackerel,23,2,1,50.0
highfin amberjack,128,21,16,76.19047619047619
indoors,481,46,44,95.65217391304348
king threadfin,103,9,3,33.33333333333333
leaping bonito,54,5,3,60.0
lesser queenfish,71,9,2,22.22222222222222
longtail tuna,397,44,11,25.0
luderick,231,26,19,73.07692307692307
mackerel tuna,188,20,6,30.0
mahi mahi,535,59,49,83.05084745762711
mangrove jack,809,103,68,66.01941747572816
mulloway,372,37,12,32.432432432432435
needleskin queenfish,72,12,0,0.0
northern sand flathead,21,4,2,50.0
northern whiting,51,4,3,75.0
pearl perch,149,15,9,60.0
people,48,2,1,50.0
pikey bream,34,6,3,50.0
river,245,26,21,80.76923076923077
river garfish,16,2,0,0.0
river perch,2,0,0,0
samsonfish,259,20,8,40.0
sand whiting,81,7,4,57.14285714285714
scaly jewfish,3,1,0,0.0
school mackerel,57,6,0,0.0
scribbled rabbitfish,90,9,8,88.88888888888889
sea,91,4,4,100.0
sea mullet,185,17,0,0.0
shark mackerel,70,5,3,60.0
silver javelin,24,4,1,25.0
silver jewfish,32,4,3,75.0
small spotted dart,84,8,7,87.5
snapper,448,46,27,58.69565217391305
snub nosed dart,347,29,21,72.41379310344827
snubnose garfish,10,1,0,0.0
spanish mackerel,454,45,20,44.44444444444444
spotted mackerel,122,13,3,23.076923076923077
stout whiting,10,3,1,33.33333333333333
striped barracuda,97,11,10,90.9090909090909
swallow tailed dart,10,1,0,0.0
tailor,591,52,34,65.38461538461539
tarwhine,77,4,2,50.0
teraglin,66,6,0,0.0
three by two garfish,10,1,0,0.0
trumpeter winter whiting,20,1,0,0.0
wahoo,181,19,7,36.84210526315789
wolf herring,103,12,2,16.666666666666664
yellowfin bream,115,16,8,50.0
yellowfin tuna,475,46,24,52.17391304347826
yellowtail kingfish,603,69,33,47.82608695652174
yellowtailed flathead,5,1,0,0.0
