class,dataset size,test size,num correct,correct percentage
amberjack,323,37,21,56.75675675675676
australian bass,378,40,26,65.0
australian bonito,57,7,4,57.14285714285714
barramundi,575,50,36,72.0
barred cheek coral trout,155,14,13,92.85714285714286
barred javelin,97,11,5,45.45454545454545
barred queenfish,12,1,0,0.0
bartailed flathead,192,15,3,20.0
beach,369,41,41,100.0
bigeye trevally,60,4,1,25.0
black jewfish,138,13,7,53.84615384615385
blackbanded amberjack,40,3,3,100.0
blackspotted rockcod estuary cod,73,6,5,83.33333333333334
blue threadfin,80,8,6,75.0
boat,744,95,89,93.6842105263158
cobia,484,55,32,58.18181818181818
diamondscale mullet,72,7,4,57.14285714285714
dusky flathead,507,45,31,68.88888888888889
frypan bream,16,3,1,33.33333333333333
giant queenfish,192,26,13,50.0
giant trevally,617,60,36,60.0
golden snapper fingermark,516,48,38,79.16666666666666
golden trevally,585,58,48,82.75862068965517
goldenline whiting,9,1,0,0.0
goldspotted rockcod estuary cod,53,6,5,83.33333333333334
grass emperor sweetlip,82,11,3,27.27272727272727
great barracuda,736,83,56,67.46987951807229
grey mackerel,23,2,1,50.0
highfin amberjack,128,21,9,42.857142857142854
indoors,481,46,45,97.82608695652173
king threadfin,103,9,3,33.33333333333333
leaping bonito,54,5,2,40.0
lesser queenfish,71,9,3,33.33333333333333
longtail tuna,397,44,4,9.090909090909092
luderick,231,26,18,69.23076923076923
mackerel tuna,188,20,13,65.0
mahi mahi,535,59,50,84.7457627118644
mangrove jack,809,103,59,57.28155339805825
mulloway,372,37,8,21.62162162162162
needleskin queenfish,72,12,6,50.0
northern sand flathead,21,4,1,25.0
northern whiting,51,4,3,75.0
pearl perch,149,15,10,66.66666666666666
people,48,2,1,50.0
pikey bream,34,6,2,33.33333333333333
river,245,26,22,84.61538461538461
river garfish,16,2,0,0.0
river perch,2,0,0,0
samsonfish,259,20,10,50.0
sand whiting,81,7,4,57.14285714285714
scaly jewfish,3,1,0,0.0
school mackerel,57,6,0,0.0
scribbled rabbitfish,90,9,7,77.77777777777779
sea,91,4,4,100.0
sea mullet,185,17,12,70.58823529411765
shark mackerel,70,5,4,80.0
silver javelin,24,4,1,25.0
silver jewfish,32,4,1,25.0
small spotted dart,84,8,6,75.0
snapper,448,46,31,67.3913043478261
snub nosed dart,347,29,23,79.3103448275862
snubnose garfish,10,1,0,0.0
spanish mackerel,454,45,7,15.555555555555555
spotted mackerel,122,13,6,46.15384615384615
stout whiting,10,3,2,66.66666666666666
striped barracuda,97,11,9,81.81818181818183
swallow tailed dart,10,1,0,0.0
tailor,591,52,35,67.3076923076923
tarwhine,77,4,2,50.0
teraglin,66,6,1,16.666666666666664
three by two garfish,10,1,0,0.0
trumpeter winter whiting,20,1,0,0.0
wahoo,181,19,14,73.68421052631578
wolf herring,103,12,3,25.0
yellowfin bream,115,16,7,43.75
yellowfin tuna,475,46,17,36.95652173913043
yellowtail kingfish,603,69,35,50.72463768115942
yellowtailed flathead,5,1,0,0.0
