class,dataset size,test size,num correct,correct percentage
amberjack,323,37,18,48.64864864864865
australian bass,378,40,30,75.0
australian bonito,57,7,4,57.14285714285714
barramundi,575,50,23,46.0
barred cheek coral trout,155,14,13,92.85714285714286
barred javelin,97,11,6,54.54545454545454
barred queenfish,12,1,0,0.0
bartailed flathead,192,15,9,60.0
beach,17,2,1,50.0
bigeye trevally,60,4,0,0.0
black jewfish,138,13,7,53.84615384615385
blackbanded amberjack,40,3,3,100.0
blackspotted rockcod,73,6,4,66.66666666666666
blue threadfin,80,8,5,62.5
boat,62,6,2,33.33333333333333
cobia,484,55,37,67.27272727272727
diamondscale mullet,72,7,4,57.14285714285714
dusky flathead,507,45,29,64.44444444444444
frypan bream,16,3,1,33.33333333333333
giant queenfish,192,26,12,46.15384615384615
giant trevally,617,60,49,81.66666666666667
golden snapper fingermark,516,48,36,75.0
golden trevally,585,58,40,68.96551724137932
goldenline whiting,9,1,0,0.0
goldspotted rockcod,53,8,4,50.0
grass emperor sweetlip,82,11,6,54.54545454545454
great barracuda,736,83,67,80.72289156626506
grey mackerel,23,2,1,50.0
highfin amberjack,128,21,12,57.14285714285714
king threadfin,103,9,3,33.33333333333333
leaping bonito,54,5,2,40.0
lesser queenfish,71,9,4,44.44444444444444
longtail tuna,397,44,22,50.0
luderick,231,26,20,76.92307692307693
mackerel tuna,188,20,14,70.0
mahi mahi,535,59,52,88.13559322033898
mangrove jack,809,103,65,63.10679611650486
mulloway,372,37,13,35.13513513513514
needleskin queenfish,72,12,7,58.333333333333336
northern sand flathead,16,4,1,25.0
northern whiting,51,4,3,75.0
pearl perch,149,15,11,73.33333333333333
people,48,2,1,50.0
pikey bream,34,6,1,16.666666666666664
river,245,26,21,80.76923076923077
river garfish,16,2,0,0.0
river perch,2,0,0,0
samsonfish,259,20,10,50.0
sand whiting,81,7,4,57.14285714285714
scaly jewfish,3,1,0,0.0
school mackerel,57,6,0,0.0
scribbled rabbitfish,90,9,7,77.77777777777779
sea,91,4,4,100.0
sea mullet,185,17,16,94.11764705882352
shark mackerel,70,5,3,60.0
silver javelin,24,4,1,25.0
silver jewfish,32,4,2,50.0
small spotted dart,84,8,6,75.0
snapper,448,46,35,76.08695652173914
snub nosed dart,347,46,33,71.73913043478261
snubnose garfish,10,1,0,0.0
spanish mackerel,454,45,11,24.444444444444443
spotted mackerel,122,13,3,23.076923076923077
stout whiting,10,3,2,66.66666666666666
striped barracuda,87,8,5,62.5
swallow tailed dart,10,1,0,0.0
tailor,591,52,23,44.230769230769226
tarwhine,77,4,1,25.0
teraglin,66,6,0,0.0
three by two garfish,10,1,0,0.0
trumpeter whiting,20,3,0,0.0
wahoo,181,19,10,52.63157894736842
wolf herring,103,12,3,25.0
yellowfin bream,115,16,10,62.5
yellowfin tuna,475,46,29,63.04347826086957
yellowtail kingfish,603,69,48,69.56521739130434
yellowtailed flathead,5,1,0,0.0
