class,class size,val size,val correct,val percentage
amberjack,331,32,16,50.0
australian_bass,785,76,45,59.210526315789465
australian_bonito,57,6,0,0.0
barramundi,651,63,45,71.42857142857143
barred_cheek_coral_trout,159,15,13,86.66666666666667
barred_javelin,113,11,5,45.45454545454545
barred_queenfish,20,2,2,100.0
bartailed_flathead,192,19,9,47.368421052631575
beach,376,36,34,94.44444444444444
bigeye_trevally,146,10,8,80.0
black_jewfish,142,14,4,28.57142857142857
blackbanded_amberjack,40,4,3,75.0
blackspotted_rockcod_estuary_cod,87,8,6,75.0
blue_threadfin,96,9,5,55.55555555555556
boat,1047,102,94,92.15686274509804
cobia,533,48,39,81.25
diamondscale_mullet,72,8,4,50.0
dusky_flathead,636,61,45,73.77049180327869
frypan_bream,16,2,1,50.0
giant_queenfish,205,20,13,65.0
giant_trevally,645,62,45,72.58064516129032
golden_snapper_fingermark,522,51,23,45.09803921568628
golden_trevally,601,58,49,84.48275862068965
goldenline_whiting,12,2,0,0.0
goldspotted_rockcod_estuary_cod,64,7,3,42.857142857142854
grass_emperor_sweetlip,86,8,6,75.0
great_barracuda,749,72,59,81.94444444444444
grey_mackerel,22,3,0,0.0
highfin_amberjack,129,12,2,16.666666666666664
indoors,485,46,46,100.0
king_threadfin,121,11,5,45.45454545454545
leaping_bonito,54,6,3,50.0
lesser_queenfish,72,8,3,37.5
longtail_tuna,411,40,29,72.5
luderick,236,22,16,72.72727272727273
mackerel_tuna,194,19,9,47.368421052631575
mahi_mahi,547,52,44,84.61538461538461
mangrove_jack,874,84,74,88.09523809523809
mulloway,409,39,16,41.02564102564102
needleskin_queenfish,74,8,6,75.0
northern_sand_flathead,21,3,0,0.0
northern_whiting,51,6,5,83.33333333333334
pearl_perch,159,15,11,73.33333333333333
people,936,90,85,94.44444444444444
pikey_bream,38,4,2,50.0
river,510,48,44,91.66666666666666
river_garfish,17,2,0,0.0
river_perch,5,1,0,0.0
samsonfish,274,26,15,57.692307692307686
sand_whiting,151,15,13,86.66666666666667
scaly_jewfish,6,1,0,0.0
school_mackerel,64,7,1,14.285714285714285
scribbled_rabbitfish,90,8,8,100.0
sea,313,30,23,76.66666666666667
sea_mullet,185,18,9,50.0
shark_mackerel,71,8,2,25.0
silver_javelin,25,3,2,66.66666666666666
silver_jewfish,33,4,3,75.0
small_spotted_dart,85,8,6,75.0
snapper,469,44,24,54.54545454545454
snub_nosed_dart,353,34,29,85.29411764705883
snubnose_garfish,13,2,0,0.0
spanish_mackerel,380,36,14,38.88888888888889
spotted_mackerel,125,12,3,25.0
stout_whiting,7,1,0,0.0
striped_barracuda,100,9,5,55.55555555555556
swallow_tailed_dart,23,3,1,33.33333333333333
tailor,622,60,39,65.0
tarwhine,81,8,7,87.5
teraglin,70,7,1,14.285714285714285
three_by_two_garfish,10,1,0,0.0
trumpeter_winter_whiting,20,2,2,100.0
wahoo,187,18,10,55.55555555555556
wolf_herring,111,11,8,72.72727272727273
yellowfin_bream,132,13,7,53.84615384615385
yellowfin_tuna,483,46,27,58.69565217391305
yellowtail_kingfish,615,59,31,52.54237288135594
yellowtailed_flathead,7,1,0,0.0
,,,,54.95281519449615

training accuracy,85.98149418830872
validation accuracy,69.56043839454651
