class,class size,val size,val correct,val percentage
amberjack,411,38,8,21.052631578947366
australian_bass,1270,139,83,59.71223021582733
australian_bonito,96,5,2,40.0
barramundi,1029,87,33,37.93103448275862
barred_cheek_coral_trout,235,27,14,51.85185185185185
barred_javelin,143,14,7,50.0
barred_queenfish,22,2,2,100.0
bartailed_flathead,241,24,14,58.333333333333336
beach,119,45,44,97.77777777777777
bigeye_trevally,507,38,13,34.21052631578947
black_jewfish,158,16,6,37.5
blackbanded_amberjack,43,5,3,60.0
blackspotted_rockcod_estuary_cod,104,9,5,55.55555555555556
blue_threadfin,86,8,4,50.0
boat,110,103,73,70.87378640776699
cobia,832,83,36,43.373493975903614
diamondscale_mullet,303,41,19,46.34146341463415
dusky_flathead,643,71,31,43.66197183098591
frypan_bream,49,5,3,60.0
giant_queenfish,229,24,11,45.83333333333333
giant_trevally,760,76,48,63.1578947368421
golden_snapper_fingermark,815,74,44,59.45945945945946
golden_trevally,1426,158,101,63.92405063291139
goldenline_whiting,14,2,1,50.0
goldspotted_rockcod_estuary_cod,68,9,4,44.44444444444444
grass_emperor_sweetlip,147,15,9,60.0
great_barracuda,1699,139,75,53.956834532374096
grey_mackerel,23,7,0,0.0
highfin_amberjack,143,13,5,38.46153846153847
indoors,10,1,1,100.0
king_threadfin,157,16,10,62.5
leaping_bonito,64,14,2,14.285714285714285
lesser_queenfish,138,11,5,45.45454545454545
longtail_tuna,559,60,22,36.666666666666664
luderick,567,56,41,73.21428571428571
mackerel_tuna,412,39,25,64.1025641025641
mahi_mahi,844,76,52,68.42105263157895
mangrove_jack,1164,109,68,62.38532110091744
mulloway,602,48,18,37.5
needleskin_queenfish,86,7,6,85.71428571428571
northern_sand_flathead,40,3,0,0.0
northern_whiting,58,6,5,83.33333333333334
pearl_perch,320,45,18,40.0
people,55,7,7,100.0
pikey_bream,69,6,4,66.66666666666666
river,77,5,4,80.0
river_garfish,15,2,1,50.0
river_perch,5,1,0,0.0
samsonfish,470,47,31,65.95744680851064
sand_whiting,196,18,9,50.0
scaly_jewfish,8,1,0,0.0
school_mackerel,99,10,5,50.0
scribbled_rabbitfish,184,18,13,72.22222222222221
sea,40,30,8,26.666666666666668
sea_mullet,694,60,19,31.666666666666664
shark_mackerel,94,8,3,37.5
silver_javelin,48,5,3,60.0
silver_jewfish,45,5,4,80.0
small_spotted_dart,100,8,7,87.5
snapper,549,49,30,61.224489795918366
snub_nosed_dart,792,74,41,55.4054054054054
snubnose_garfish,15,2,0,0.0
spanish_mackerel,498,48,27,56.25
spotted_mackerel,191,19,14,73.68421052631578
stout_whiting,10,1,1,100.0
striped_barracuda,498,42,32,76.19047619047619
swallow_tailed_dart,35,11,1,9.090909090909092
tailor,1401,145,30,20.689655172413794
tarwhine,136,8,7,87.5
teraglin,115,10,3,30.0
three_by_two_garfish,12,2,1,50.0
trumpeter_winter_whiting,38,5,4,80.0
wahoo,203,20,11,55.00000000000001
wolf_herring,180,19,11,57.89473684210527
yellowfin_bream,167,13,5,38.46153846153847
yellowfin_tuna,716,62,27,43.54838709677419
yellowtail_kingfish,911,74,36,48.64864864864865
yellowtailed_flathead,13,3,1,33.33333333333333
,,,,52.64221078128845

training accuracy,56.810158491134644
validation accuracy,52.609360218048096
