class,class size,val size,val n_correct,val accuracy
amberjack,271,32,22,68.750
australian_bass,825,96,90,93.750
australian_bonito,47,6,4,66.667
barramundi,641,77,69,89.610
barred_cheek_coral_trout,163,20,19,95.000
barred_javelin,115,14,12,85.714
barred_queenfish,16,2,2,100.000
bartailed_flathead,171,21,16,76.190
beach,306,306,306,100.000
bigeye_trevally,126,11,10,90.909
black_jewfish,115,14,12,85.714
blackbanded_amberjack,32,5,5,100.000
blackspotted_rockcod_estuary_cod,71,8,5,62.500
blue_threadfin,67,8,5,62.500
boat,859,859,859,100.000
cobia,539,60,55,91.667
diamondscale_mullet,110,13,12,92.308
dusky_flathead,553,65,52,80.000
frypan_bream,27,4,2,50.000
giant_queenfish,167,20,13,65.000
giant_trevally,529,63,59,93.651
golden_snapper_fingermark,557,66,63,95.455
golden_trevally,480,57,52,91.228
goldenline_whiting,10,2,0, 0.000
goldspotted_rockcod_estuary_cod,45,6,4,66.667
grass_emperor_sweetlip,106,13,11,84.615
great_barracuda,718,85,80,94.118
grey_mackerel,15,3,0, 0.000
highfin_amberjack,105,12,6,50.000
indoors,393,46,46,100.000
king_threadfin,119,14,12,85.714
leaping_bonito,43,6,4,66.667
lesser_queenfish,76,9,6,66.667
longtail_tuna,379,45,38,84.444
luderick,264,32,30,93.750
mackerel_tuna,312,37,35,94.595
mahi_mahi,624,74,74,100.000
mangrove_jack,804,93,88,94.624
mulloway,430,51,39,76.471
needleskin_queenfish,61,7,7,100.000
northern_sand_flathead,30,4,0, 0.000
northern_whiting,40,6,5,83.333
pearl_perch,197,23,19,82.609
people,777,91,89,97.802
pikey_bream,48,6,4,66.667
river,416,50,48,96.000
river_garfish,13,2,0, 0.000
river_perch,3,1,0, 0.000
samsonfish,364,43,40,93.023
sand_whiting,121,15,12,80.000
scaly_jewfish,4,1,0, 0.000
school_mackerel,61,7,4,57.143
scribbled_rabbitfish,102,12,12,100.000
sea,253,253,253,100.000
sea_mullet,299,36,32,88.889
shark_mackerel,56,8,5,62.500
silver_javelin,35,5,4,80.000
silver_jewfish,33,5,5,100.000
small_spotted_dart,69,8,7,87.500
snapper,381,45,42,93.333
snub_nosed_dart,385,46,44,95.652
snubnose_garfish,10,2,0, 0.000
spanish_mackerel,355,43,36,83.721
spotted_mackerel,137,16,12,75.000
stout_whiting,5,1,0, 0.000
striped_barracuda,94,11,11,100.000
swallow_tailed_dart,17,3,1,33.333
tailor,746,89,78,87.640
tarwhine,65,8,7,87.500
teraglin,76,9,2,22.222
three_by_two_garfish,7,2,0, 0.000
trumpeter_winter_whiting,21,3,3,100.000
wahoo,150,18,15,83.333
wolf_herring,120,15,13,86.667
yellowfin_bream,98,12,8,66.667
yellowfin_tuna,390,46,37,80.435
yellowtail_kingfish,547,53,47,88.679
yellowtailed_flathead,9,0,0, 0.000

training accuracy,0.996964928057554
validation accuracy,0.9282738095238096
