commonName,scientificName,webpage,imageUrl,attribution,licenseCode,licenseUrl
Papuan jawfish,Opistognathus papuensis,http://fishesofaustralia.net.au/home/species/3493,http://fishesofaustralia.net.au/Images/Image/OpistognPapuaensAdamMattner.jpg,"A Papuan Jawfish, Opistognathus papuensis, from off Channel Island Road, Wickham, Northern Territory, January 2016. Source: Adam Mattner / Atlas of Living Australia.",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
Brown sweetlips,Plectorhinchus gibbosus,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Plectorhinchus&Species=gibbosus#,http://www.fishbase.us/tools/UploadPhoto/uploads/1369709383_182.52.96.15.jpg,"Thailand, Kampuan market, Suksamran, Ranong , southern Thailand 2010,220.0mmSL, by Sahat Ratmuangkhwang",CC-BY,https://creativecommons.org/licenses/by/3.0/
Sand bass,Psammoperca waigiensis,,,,,
Reef stonefish,Synanceia verrucosa,https://commons.wikimedia.org/w/index.php?curid=19147608,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Synanceia_verrucosa_Prague_2011_2.jpg/1024px-Synanceia_verrucosa_Prague_2011_2.jpg,By Karelj - Own work,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/
Sevenspot archerfish,Toxotes chatareus,http://fishesofaustralia.net.au/home/species/681,http://fishesofaustralia.net.au/Images/Image/ToxotChatareusffish.asia.jpg,"Sevenspot Archerfish, Toxotes chatareus. Source: Dinh D. Tran, FiMSeA / http://ffish.asia.",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
Spotted sicklefish,Drepane punctata,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Drepane&Species=punctata#,http://www.fishbase.us/tools/UploadPhoto/uploads/1369794085_182.52.96.191.jpg,"Thailand, Kampuan market, Suksamran, Ranong , southern Thailand 2010,105mmSL, by Sahat Ratmuangkhwang",CC-BY,https://creativecommons.org/licenses/by/3.0/
Oxeye herring,Megalops cyprinoides,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Megalops&Species=cyprinoides#,http://www.fishbase.us/tools/UploadPhoto/uploads/1412085009_210.195.14.79.jpg,"Malaysia, Kota Marudu (Sabah), April 6, 2014, 28 cm , by M S Kamarudin",CC-BY,https://creativecommons.org/licenses/by/3.0/
Rainbow monocle bream,Scolopsis monogramma,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Scolopsis&Species=monogramma,http://www.fishbase.us/tools/UploadPhoto/uploads/Scolopsismonogramma2608.JPG,"Thailand, Siam Bay, 26-08-2011, 27cm, by Tatjana Krivenko",CC-BY,https://creativecommons.org/licenses/by/3.0/
Tripletail,Lobotes surinamensis,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Lobotes&Species=surinamensis,https://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1364440107_119.73.71.243.jpg,"Pakistan, March 22, 2013, Off Ormara, by Muhammad Moazzam Khan",CC-BY,https://creativecommons.org/licenses/by/3.0/
Orangefin ponyfish,Photopectoralis bindus,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Photopectoralis&Species=bindus,https://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1419054700_175.45.189.139.jpg,"Indonesia, Padikde Talango, Madura (Lat. -6.8865557; Lon. 113.654605); June, 1, 2013; 69.5 mm, by D.G.R. Wiadnya",CC-BY,https://creativecommons.org/licenses/by/3.0/
Bludger trevally,Carangoides gymnostethus,http://fishesofaustralia.net.au/home/species/4262,http://fishesofaustralia.net.au/Images/Image/CarangoidGymnostethRLS.jpg,"Bludger Trevally, Carangoides gymnostethus, at Mornington Island. Source: Rick Stuart-Smith / Reef Life Survey.",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
Ferocious puffer,Feroxodon multistriatus,http://fishesofaustralia.net.au/home/species/864,http://fishesofaustralia.net.au/Images/Image/FeroxodMultistriatAndyALewis.jpg,"A Ferocious Puffer, Feroxodon multistriatus, at Lizard Island, Great Barrier Reef, Queensland. Source: Andy Lewis / Lizard Island Research Station.",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
Striped scat,Selenotoca multifasciata,,,,,
Diamond trevally,Alectis indica,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Alectis&Species=indica,https://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1367984638_182.52.96.221.jpg,"Thailand, Kampuan market, Suksamran, Ranong , southern Thailand 2010,207.0mmSL, by Sahat Ratmuangkhwang",CC-BY,https://creativecommons.org/licenses/by/3.0/
Threespin frogfish,Batrachomoeus trispinosus,http://fishesofaustralia.net.au/home/species/2836,http://fishesofaustralia.net.au/Images/Image/BatrachomTrispinosusffish.asia.jpg,"A Threespine Frogfish. Batrachomoeus trispinosus, from Can Tho, Ninh Kieu, An Lac Market, Vietnam. Source: Dinh D. Tran, FiMSeA / http://ffish.asia",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
Yellowfin tripodfish,Tripodichthys angustifrons,https://www.istockphoto.com/au/photo/bribie-island-yellowfin-tripodfish-gm871402082-145571307,,,,
Goldspotted sweetlips,Plectorhinchus flavomaculatus,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Plectorhinchus&Species=flavomaculatus,https://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1390029991_182.178.45.209.jpg,"Pakistan, Karachi,17-1-14, 42 cm, by Hamid Badar Osmany",CC-BY,https://creativecommons.org/licenses/by/3.0/
