commonName,scientificName,webpage,imageUrl,attribution,licenseCode,licenseUrl
Giant queenfish,Scomberoides commersonnianus,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Scomberoides&Species=commersonnianus#,http://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1502869642_172.68.144.213.jpg,"Pakistan, Offshore waters of Pakistan, 24 April 2017 (24 45.4000N; 66 07.300E) Photo Amir rahim Observer, by Muhammad Moazzam Khan.",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
Giant trevally,Caranx ignobilis,https://commons.wikimedia.org/wiki/File:Caranx_ignobilis.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ed/Caranx_ignobilis.jpg,"Giant trevally (Caranx ignobilis) by Dr. Dwayne Meadows, NOAA/NMFS/OPR.",Public Domain,
Golden trevally,Gnathanodon speciosus,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Gnathanodon&Species=speciosus#,http://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1486527210_172.68.106.90.jpg,"Thailand, Trap Pirm Poom Market of Suksamran, Ranong, Andaman coast of Thailand - 158 mm SL Collected in 2016 , by Sahat Ratmuangkhwang.",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
,,https://commons.wikimedia.org/wiki/File:Gnathanodon_speciosus_1.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e1/Gnathanodon_speciosus_1.jpg,Photo of Gnathanodon speciosus (golden trevalley) at the Birch Aquarium in San Diego by Stan Shebs.,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/deed.en
Goldenline whiting,Sillago analis,,,,,
Goldspotted rockcod (estuary cod),Epinephelus coioides,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Epinephelus&Species=coioides#,http://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1355803751_182.52.96.78.jpg,"Thailand, Kampuan mangrove forest at Amphoe Suksamran, Ranong province, southern Thailand, 2010, 146.6mmSL, by Sahat Ratmuangkhwang.",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
Grass emperor (sweetlip),Lethrinus laticaudis,,,,,
Great barracuda,Sphyraena barracuda,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Sphyraena&Species=barracuda#,http://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1366508120_182.178.98.245.jpg,"Pakistan, Karachi, 18-4-2013, 71 cm, Assist by Kashifa Zohra, by Hamid Badar Osmany.",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
Highfin amberjack,Seriola rivoliana,http://www.fishbase.us/photos/ThumbnailsSummary.php?Genus=Seriola&Species=rivoliana#,http://d1iraxgbwuhpbw.cloudfront.net/tools/uploadphoto/uploads/1367490385_39.48.178.157.jpg,"Pakistan, Off Malan, April 30, 2013, by Muhammad Moazzam Khan.",CC BY 3.0,https://creativecommons.org/licenses/by/3.0/
Leaping bonito,Cybiosarda elegans,,,,,
